amount,balance,hour,day,time_since_last,distance,speed,merchant_risk,cardholder_risk,device,ip_risk,z_score,is_fraud
70,4862,18,4,1200.44,11,29,0.07,0.03,1,0.07,-0.46,0
62,4840,13,1,1347.32,4,32,0.09,0.06,1,0.06,-0.96,0
51,4258,10,3,1951.90,6,31,0.03,0.01,1,0.09,-0.26,0
48,4708,11,3,1235.69,5,25,0.18,0.05,1,0.07,0.00,0
64,3040,17,3,1483.73,8,20,0.05,0.17,1,0.04,-0.79,0
67,3237,16,4,1556.42,8,39,0.01,0.07,1,0.01,0.38,0
67,5976,9,0,1404.45,4,42,0.13,0.18,1,0.05,-0.45,0
67,4355,8,4,1739.09,6,64,0.09,0.01,1,0.01,-0.46,0
62,4701,11,4,1620.71,5,25,0.15,0.05,1,0.01,-0.75,0
44,4498,9,1,1540.29,8,33,0.04,0.18,1,0.05,0.16,0
46,4672,16,2,1694.75,4,3,0.04,0.02,1,0.03,0.17,0
57,5404,15,0,1307.45,5,22,0.14,0.14,1,0.01,-0.41,0
59,5345,14,4,1687.40,1,33,0.09,0.11,1,0.06,0.99,0
56,4311,8,4,1721.04,9,21,0.17,0.06,1,0.02,0.04,0
62,4497,18,3,1441.83,4,36,0.03,0.14,1,0.04,-0.61,0
44,4678,14,1,1602.70,1,32,0.11,0.05,1,0.01,0.65,0
31,6191,10,2,1544.39,6,33,0.13,0.02,1,0.02,0.17,0
65,5847,10,0,1474.97,1,40,0.04,0.14,1,0.02,0.66,0
83,4179,15,2,1604.41,11,28,0.05,0.05,1,0.10,-0.38,0
78,4760,18,2,1442.60,9,27,0.04,0.14,1,0.03,1.36,0
61,4863,8,3,1395.31,7,35,0.19,0.17,1,0.03,-0.04,0
81,4658,10,1,1582.02,5,36,0.02,0.12,1,0.10,0.88,0
61,3857,9,1,1614.49,8,20,0.06,0.16,1,0.08,0.69,0
70,8853,20,3,1706.18,8,32,0.07,0.08,1,0.01,0.09,0
50,5082,16,1,1082.30,6,26,0.01,0.16,1,0.04,0.04,0
61,3922,12,3,1549.92,1,54,0.13,0.15,1,0.10,0.92,0
19,5186,8,2,1281.50,5,35,0.08,0.03,1,0.02,0.43,0
66,3388,16,4,1515.46,10,17,0.05,0.07,1,0.08,0.92,0
69,5775,19,1,1579.82,7,25,0.13,0.01,1,0.09,-1.05,0
54,5525,17,1,1440.36,7,49,0.12,0.19,1,0.09,0.21,0
67,5926,11,3,1757.20,1,51,0.19,0.08,1,0.10,-0.98,0
50,5208,15,4,1322.13,8,34,0.13,0.18,1,0.07,-0.35,0
47,5877,17,4,1589.46,7,30,0.07,0.16,1,0.03,0.06,0
91,4560,16,2,1701.10,5,37,0.08,0.00,1,0.09,-0.16,0
55,4387,11,2,1269.35,5,32,0.11,0.04,1,0.09,-0.40,0
53,5249,12,1,1802.73,6,31,0.17,0.09,1,0.02,0.04,0
78,4766,9,4,1123.67,5,41,0.18,0.05,1,0.09,0.12,0
25,6069,19,2,1502.18,9,39,0.02,0.10,1,0.00,-0.08,0
46,4952,19,4,1550.94,7,19,0.08,0.10,1,0.01,0.38,0
9,6143,17,3,1449.12,6,27,0.18,0.18,1,0.03,-0.05,0
51,5217,16,0,1353.61,11,42,0.18,0.01,1,0.03,0.91,0
104,4192,15,1,1408.46,1,40,0.02,0.19,1,0.10,-0.91,0
67,6876,8,4,1554.27,8,37,0.08,0.19,1,0.09,0.74,0
84,4531,8,2,1097.37,9,29,0.08,0.05,1,0.01,0.62,0
65,5302,12,2,1743.25,6,27,0.03,0.19,1,0.06,-0.80,0
74,3875,9,3,744.37,4,25,0.16,0.19,1,0.01,0.45,0
68,6342,14,4,1737.81,8,26,0.00,0.07,1,0.06,-0.17,0
36,2961,9,3,1034.15,11,27,0.10,0.14,1,0.08,0.27,0
84,4856,8,3,1135.37,9,34,0.07,0.11,1,0.05,-0.69,0
25,6500,15,3,1337.23,2,29,0.13,0.03,1,0.02,0.48,0
44,4441,12,0,1010.83,7,18,0.02,0.10,1,0.07,-0.58,0
35,5042,20,0,1610.27,3,23,0.04,0.07,1,0.05,0.29,0
30,6367,15,1,1610.28,2,30,0.11,0.02,1,0.04,0.48,0
28,5203,16,4,1491.98,1,14,0.07,0.09,1,0.04,0.10,0
54,7173,11,1,1856.90,9,10,0.07,0.18,1,0.06,0.53,0
60,3362,13,4,1316.58,1,42,0.02,0.16,1,0.01,-0.02,0
76,5145,13,0,1799.03,5,36,0.11,0.10,1,0.08,0.42,0
42,5639,11,0,1809.40,6,28,0.10,0.19,1,0.03,0.07,0
25,6242,15,1,1839.40,11,36,0.02,0.03,1,0.00,-0.51,0
59,3976,13,2,1555.41,4,34,0.19,0.04,1,0.01,-0.30,0
70,6580,20,2,1321.10,7,27,0.16,0.13,1,0.05,-0.16,0
77,4674,16,1,1389.98,9,23,0.06,0.15,1,0.05,-1.12,0
67,4781,14,1,1618.48,5,21,0.19,0.13,1,0.03,0.14,0
67,4585,20,0,1633.18,5,25,0.06,0.05,1,0.07,0.20,0
61,4522,17,4,1370.49,7,43,0.03,0.05,1,0.07,-0.22,0
77,6356,10,3,1113.56,6,19,0.18,0.12,1,0.04,-0.26,0
73,4944,19,1,1476.11,13,28,0.17,0.19,1,0.06,0.02,0
70,5224,15,1,1319.47,9,24,0.04,0.17,1,0.03,-0.25,0
39,4271,12,0,1280.70,7,35,0.02,0.08,1,0.09,0.66,0
59,5807,18,1,1472.27,7,35,0.03,0.01,1,0.03,-0.76,0
46,5906,17,3,1455.68,1,30,0.11,0.17,1,0.05,0.21,0
48,4089,20,2,1479.62,5,24,0.01,0.09,1,0.06,-0.27,0
88,2341,19,0,1689.22,-1,27,0.17,0.19,1,0.04,-0.19,0
77,3673,19,0,1627.14,9,37,0.00,0.02,1,0.08,-0.56,0
70,3947,15,1,1689.96,6,27,0.06,0.02,1,0.06,-0.53,0
74,5467,20,2,1106.04,10,18,0.08,0.12,1,0.03,-0.41,0
34,6755,16,1,1366.61,6,32,0.20,0.09,1,0.02,-0.49,0
106,2216,16,1,1170.36,7,32,0.20,0.11,1,0.02,-0.09,0
27,5552,8,4,1645.83,6,33,0.12,0.13,1,0.02,0.49,0
57,5807,19,1,1069.04,2,31,0.01,0.17,1,0.04,-0.11,0
