ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6,F7,G7,F8,G8,F9,G9,F10,G10,F11,G11,F12,G12
0,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1,0.0949,1
0.02,0.01004,0.98202,0.02505,0.98018,0.07814,0.98382,0.12394,0.99501,0.04503,0.98375,0.05327,0.98369,0.09158,0.98732,0.12881,0.99617,0.07863,0.99015,0.08446,0.99025,0.11286,0.99303,0.14145,0.99946
0.04,0.02039,0.9649,0.04972,0.961,0.15235,0.96624,0.24036,0.9852,0.08809,0.96697,0.10387,0.96656,0.17704,0.97184,0.248,0.9866,0.15095,0.97714,0.16194,0.97701,0.21539,0.98068,0.26917,0.99107
0.06,0.03103,0.94774,0.07398,0.94159,0.22271,0.94659,0.34933,0.97037,0.12925,0.94891,0.15194,0.94791,0.25666,0.9532,0.35792,0.97144,0.21747,0.96068,0.233,0.9601,0.30837,0.96325,0.38414,0.97571
0.08,0.04197,0.93053,0.09786,0.92196,0.28929,0.92511,0.45097,0.95117,0.16862,0.92968,0.19758,0.9279,0.3307,0.93185,0.45896,0.95161,0.27867,0.94134,0.29815,0.94013,0.39254,0.94173,0.48731,0.95487
0.1,0.05317,0.91328,0.12134,0.90212,0.35218,0.902,0.54541,0.92822,0.20628,0.9094,0.24091,0.90668,0.39941,0.90822,0.55152,0.92792,0.33497,0.91957,0.35789,0.91762,0.46859,0.91695,0.57959,0.92976
0.12,0.06464,0.89598,0.14442,0.88207,0.41144,0.87748,0.63285,0.90208,0.2423,0.88819,0.28204,0.8844,0.46306,0.88267,0.636,0.90107,0.38679,0.8958,0.41264,0.89303,0.53719,0.88961,0.66184,0.90137
0.14,0.07635,0.87864,0.16712,0.86185,0.4672,0.85172,0.71349,0.87328,0.27676,0.86614,0.32107,0.86118,0.5219,0.85555,0.71282,0.8717,0.43448,0.87036,0.46281,0.86674,0.59893,0.86029,0.73488,0.87053
0.16,0.08831,0.86125,0.18943,0.84145,0.51953,0.82492,0.78755,0.84231,0.30973,0.84335,0.35811,0.83717,0.57618,0.82716,0.78238,0.84037,0.47838,0.84357,0.50879,0.8391,0.65439,0.82949,0.79947,0.8379
0.18,0.10048,0.84383,0.21134,0.82091,0.56856,0.79726,0.85528,0.80963,0.34129,0.81992,0.39324,0.81248,0.62615,0.79776,0.84511,0.80754,0.51881,0.81571,0.5509,0.8104,0.70408,0.79762,0.85634,0.80405
0.2,0.11287,0.82636,0.23287,0.80022,0.61438,0.7689,0.91694,0.77564,0.37149,0.79595,0.42656,0.78722,0.67204,0.76762,0.90141,0.77365,0.55604,0.78703,0.58947,0.78091,0.74851,0.76502,0.90617,0.76942
0.22,0.12546,0.80885,0.25401,0.77942,0.65711,0.74,0.97279,0.74072,0.40039,0.77152,0.45816,0.7615,0.71409,0.73694,0.95168,0.73907,0.59034,0.75772,0.62479,0.75084,0.78813,0.73201,0.94958,0.73439
0.24,0.13824,0.79132,0.27476,0.75852,0.69687,0.71072,1.02312,0.70522,0.42807,0.74672,0.48811,0.73542,0.75252,0.70593,0.99632,0.70411,0.62195,0.728,0.65713,0.72041,0.82336,0.69882,0.98718,0.69927
0.26,0.15119,0.77375,0.29513,0.73754,0.73377,0.68119,1.06821,0.66944,0.45456,0.72163,0.51651,0.70909,0.78756,0.67478,1.03571,0.66906,0.65108,0.69802,0.68674,0.68979,0.85459,0.66568,1.01949,0.66429
0.28,0.1643,0.75615,0.31512,0.7165,0.76794,0.65156,1.10836,0.63366,0.47992,0.69633,0.54342,0.6826,0.81941,0.64364,1.07023,0.63417,0.67794,0.66796,0.71383,0.65915,0.88218,0.63277,1.04704,0.62969
0.3,0.17756,0.73854,0.33472,0.69543,0.79948,0.62195,1.14384,0.59813,0.50421,0.6709,0.56891,0.65604,0.84828,0.61266,1.10023,0.59964,0.7027,0.63794,0.73863,0.62862,0.90648,0.60024,1.0703,0.59561
0.32,0.19097,0.72091,0.35394,0.67435,0.82854,0.59249,1.17495,0.56306,0.52746,0.64541,0.59307,0.62948,0.87437,0.58197,1.12608,0.56565,0.72554,0.60809,0.76131,0.59834,0.92778,0.56822,1.08969,0.56221
0.34,0.20449,0.70327,0.37279,0.65327,0.85521,0.56327,1.20198,0.52863,0.54972,0.61994,0.61594,0.60301,0.89786,0.5517,1.14809,0.53236,0.74662,0.57853,0.78207,0.56842,0.94638,0.53685,1.10563,0.52961
0.36,0.21813,0.68563,0.39126,0.63224,0.87964,0.53441,1.22521,0.49503,0.57104,0.59456,0.63761,0.57672,0.91894,0.52194,1.16659,0.49989,0.76607,0.54937,0.80105,0.53896,0.96253,0.5062,1.11848,0.49789
0.38,0.23188,0.668,0.40935,0.61126,0.90192,0.506,1.2449,0.46237,0.59146,0.56933,0.65812,0.55066,0.93779,0.4928,1.18188,0.46835,0.78402,0.52068,0.8184,0.51006,0.97649,0.47636,1.12859,0.46713
0.4,0.24571,0.65039,0.42708,0.59037,0.92219,0.47813,1.26134,0.43079,0.61101,0.54431,0.67753,0.5249,0.95456,0.46435,1.19425,0.43784,0.8006,0.49256,0.83427,0.48178,0.98847,0.4474,1.13627,0.4374
0.42,0.25962,0.6328,0.44444,0.56959,0.94056,0.45088,1.27477,0.40036,0.62972,0.51957,0.6959,0.49952,0.96941,0.43667,1.20397,0.40843,0.81591,0.46508,0.84878,0.45421,0.99868,0.41939,1.1418,0.40875
