Ri,M,Eta,k,Fval,Gval
-1,0,0.0,1.0,0.0949,1.0
-1,0,0.02,1.0,0.01004,0.98202
-1,0,0.04,1.0,0.02039,0.9649
-1,0,0.06,1.0,0.03103,0.94774
-1,0,0.08,1.0,0.04197,0.93053
-1,0,0.1,1.0,0.05317,0.91328
-1,0,0.12,1.0,0.06464,0.89598
-1,0,0.14,1.0,0.07635,0.87864
-1,0,0.16,1.0,0.08831,0.86125
-1,0,0.18,1.0,0.10048,0.84383
-1,0,0.2,1.0,0.11287,0.82636
-1,0,0.22,1.0,0.12546,0.80885
-1,0,0.24,1.0,0.13824,0.79132
-1,0,0.26,1.0,0.15119,0.77375
-1,0,0.28,1.0,0.1643,0.75615
-1,0,0.3,1.0,0.17756,0.73854
-1,0,0.32,1.0,0.19097,0.72091
-1,0,0.34,1.0,0.20449,0.70327
-1,0,0.36,1.0,0.21813,0.68563
-1,0,0.38,1.0,0.23188,0.668
-1,0,0.4,1.0,0.24571,0.65039
-1,0,0.42,1.0,0.25962,0.6328
-1,0,0.44,1.0,0.27359,0.61524
-1,0,0.46,1.0,0.28762,0.59774
-1,0,0.48,1.0,0.30169,0.58028
-1,0,0.5,1.0,0.31579,0.5629
-1,0,0.52,1.0,0.3299,0.5456
-1,0,0.54,1.0,0.34403,0.52839
-1,0,0.56,1.0,0.35814,0.51129
-1,0,0.58,1.0,0.37225,0.49431
-1,0,0.6,1.0,0.38632,0.47746
-1,0,0.62,1.0,0.40036,0.46077
-1,0,0.64,1.0,0.41434,0.44423
-1,0,0.66,1.0,0.42827,0.42788
-1,0,0.68,1.0,0.44213,0.41171
-1,0,0.7,1.0,0.45591,0.39575
-1,0,0.72,1.0,0.4696,0.38002
-1,0,0.74,1.0,0.48318,0.36452
-1,0,0.76,1.0,0.49666,0.34927
-1,0,0.78,1.0,0.51003,0.33428
-1,0,0.8,1.0,0.52326,0.31958
-1,0,0.82,1.0,0.53636,0.30516
-1,0,0.84,1.0,0.54932,0.29105
-1,0,0.86,1.0,0.56213,0.27725
-1,0,0.88,1.0,0.57478,0.26378
-1,0,0.9,1.0,0.58726,0.25065
-1,0,0.92,1.0,0.59957,0.23787
-1,0,0.94,1.0,0.6117,0.22544
-1,0,0.96,1.0,0.62365,0.21338
-1,0,0.98,1.0,0.63541,0.20169
-1,0,1.0,1.0,0.64697,0.19038
-1,0,1.02,1.0,0.65834,0.17945
-1,0,1.04,1.0,0.6695,0.16891
-1,0,1.06,1.0,0.68045,0.15876
-1,0,1.08,1.0,0.69118,0.149
-1,0,1.1,1.0,0.7017,0.13963
