k,rmse_F,rmse_G
1.0,0.0027879480266404214,0.0013831044037814282
2.0,0.002296831931816128,0.0013542130964045588
3.0,0.0012869040804048503,0.0011795133978611126
4.0,0.0016629200371339786,0.001577828218404151
5.0,0.0017772997496211759,0.0015274248442482955
6.0,0.0015928621032784873,0.001671441075066175
7.0,0.0013501399850398732,0.0016774057682557807
8.0,0.0009373526459111556,0.0016312991038329723
9.0,0.0013506930289733932,0.0015315339160270345
10.0,0.0015565472690415767,0.001564923221965229
11.0,0.0010381076100160916,0.0014431076828661008
12.0,0.000950475396081674,0.0018709276163929118
