ETA,F,G
0.0,0.0949,1.0
0.02,0.01004,0.98202
0.04,0.02039,0.9649
0.06,0.03103,0.94774
0.08,0.04197,0.93053
0.1,0.05317,0.91328
0.12,0.06464,0.89598
0.14,0.07635,0.87864
0.16,0.08831,0.86125
0.18,0.10048,0.84383
0.2,0.11287,0.82636
0.22,0.12546,0.80885
0.24,0.13824,0.79132
0.26,0.15119,0.77375
0.28,0.1643,0.75615
0.3,0.17756,0.73854
0.32,0.19097,0.72091
0.34,0.20449,0.70327
0.36,0.21813,0.68563
0.38,0.23188,0.668
0.4,0.24571,0.65039
0.42,0.25962,0.6328
0.44,0.27359,0.61524
0.46,0.28762,0.59774
0.48,0.30169,0.58028
0.5,0.31579,0.5629
0.52,0.3299,0.5456
0.54,0.34403,0.52839
0.56,0.35814,0.51129
0.58,0.37225,0.49431
0.6,0.38632,0.47746
0.62,0.40036,0.46077
0.64,0.41434,0.44423
0.66,0.42827,0.42788
0.68,0.44213,0.41171
0.7,0.45591,0.39575
0.72,0.4696,0.38002
0.74,0.48318,0.36452
0.76,0.49666,0.34927
0.78,0.51003,0.33428
0.8,0.52326,0.31958
0.82,0.53636,0.30516
0.84,0.54932,0.29105
0.86,0.56213,0.27725
0.88,0.57478,0.26378
0.9,0.58726,0.25065
0.92,0.59957,0.23787
0.94,0.6117,0.22544
0.96,0.62365,0.21338
0.98,0.63541,0.20169
1.0,0.64697,0.19038
1.02,0.65834,0.17945
1.04,0.6695,0.16891
1.06,0.68045,0.15876
1.08,0.69118,0.149
1.1,0.7017,0.13963
1.12,0.71201,0.13065
1.14,0.72209,0.12207
1.16,0.73195,0.11387
1.18,0.74159,0.10605
1.2,0.751,0.09862
1.22,0.76018,0.09156
1.24,0.76914,0.08487
1.26,0.77786,0.07854
1.28,0.78637,0.07256
1.3,0.79464,0.06692
1.32,0.80269,0.06162
1.34,0.81051,0.05664
1.36,0.81811,0.05197
1.38,0.82549,0.04761
1.4,0.83265,0.04353
1.42,0.83959,0.03974
1.44,0.84631,0.03621
1.46,0.85282,0.03293
1.48,0.85913,0.0299
1.5,0.86522,0.0271
1.52,0.87111,0.02452
1.54,0.8768,0.02214
1.56,0.88229,0.01995
1.58,0.8876,0.01795
1.6,0.89271,0.01612
1.62,0.89763,0.01445
1.64,0.90238,0.01293
1.66,0.90694,0.01155
1.68,0.91133,0.01029
1.7,0.91556,0.00916
1.72,0.91962,0.00813
1.74,0.92352,0.00721
1.76,0.92726,0.00638
1.78,0.93085,0.00564
1.8,0.93429,0.00497
1.82,0.93759,0.00437
1.84,0.94075,0.00384
1.86,0.94378,0.00337
1.88,0.94667,0.00295
1.9,0.94944,0.00257
1.92,0.95209,0.00224
1.94,0.95462,0.00195
1.96,0.95704,0.0017
1.98,0.95934,0.00147
2.0,0.96154,0.00127
2.02,0.96364,0.0011
2.04,0.96563,0.00095
2.06,0.96754,0.00082
2.08,0.96935,0.0007
2.1,0.97107,0.00061
2.12,0.97271,0.00052
2.14,0.97427,0.00044
2.16,0.97575,0.00038
2.18,0.97715,0.00032
2.2,0.97848,0.00028
2.22,0.97975,0.00024
2.24,0.98095,0.0002
2.26,0.98208,0.00017
2.28,0.98316,0.00014
2.3,0.98418,0.00012
2.32,0.98514,0.0001
2.34,0.98605,9e-05
2.36,0.98691,7e-05
2.38,0.98773,6e-05
2.4,0.9885,5e-05
2.42,0.98922,4e-05
2.44,0.98991,4e-05
2.46,0.99055,3e-05
2.48,0.99116,3e-05
2.5,0.99173,2e-05
2.52,0.99227,2e-05
2.54,0.99278,2e-05
2.56,0.99325,1e-05
2.58,0.9937,1e-05
2.6,0.99412,1e-05
2.62,0.99452,1e-05
2.64,0.99489,1e-05
2.66,0.99523,1e-05
2.68,0.99556,0.0
2.7,0.99587,0.0
2.72,0.99615,0.0
2.74,0.99642,0.0
2.76,0.99667,0.0
2.78,0.99691,0.0
2.8,0.99713,0.0
2.82,0.99734,0.0
2.84,0.99753,0.0
2.86,0.99771,0.0
2.88,0.99788,0.0
2.9,0.99803,0.0
2.92,0.99818,0.0
2.94,0.99832,0.0
2.96,0.99844,0.0
2.98,0.99856,0.0
3.0,0.99867,0.0
3.02,0.99877,0.0
3.04,0.99887,0.0
3.06,0.99895,0.0
3.08,0.99903,0.0
3.1,0.99911,0.0
3.12,0.99918,0.0
3.14,0.99924,0.0
3.16,0.9993,0.0
3.18,0.99936,0.0
3.2,0.99941,0.0
3.22,0.99946,0.0
3.24,0.9995,0.0
3.26,0.99954,0.0
3.28,0.99958,0.0
3.3,0.99961,0.0
3.32,0.99964,0.0
3.34,0.99967,0.0
3.36,0.9997,0.0
3.38,0.99972,0.0
3.4,0.99974,0.0
3.42,0.99976,0.0
3.44,0.99978,0.0
3.46,0.9998,0.0
3.48,0.99982,0.0
3.5,0.99983,0.0
3.52,0.99985,0.0
3.54,0.99986,0.0
3.56,0.99987,0.0
3.58,0.99988,0.0
3.6,0.99989,0.0
3.62,0.9999,0.0
3.64,0.99991,0.0
3.66,0.99992,0.0
3.68,0.99993,0.0
3.7,0.99993,0.0
3.72,0.99994,0.0
3.74,0.99994,0.0
3.76,0.99995,0.0
3.78,0.99995,0.0
3.8,0.99995,0.0
3.82,0.99996,0.0
3.84,0.99996,0.0
3.86,0.99996,0.0
3.88,0.99997,0.0
3.9,0.99997,0.0
3.92,0.99997,0.0
3.94,0.99998,0.0
3.96,0.99998,0.0
3.98,0.99998,0.0
4.0,0.99999,0.0
4.02,0.99999,0.0
4.04,0.99999,0.0
4.06,0.99999,0.0
4.08,0.99999,0.0
4.1,1.0,0.0
4.12,1.0,0.0
4.14,1.0,-0.0
4.16,1.0,-0.0
4.18,1.0,-0.0
4.2,1.0,-0.0
4.22,1.0,-0.0
4.24,1.00001,-0.0
4.26,1.00001,-0.0
4.28,1.00001,-0.0
4.3,1.00001,-0.0
4.32,1.00001,-0.0
4.34,1.00001,-0.0
4.36,1.00001,-0.0
4.38001,1.00001,-0.0
4.40001,1.00001,-0.0
4.42001,1.00001,-0.0
4.44001,1.00001,-0.0
4.46001,1.00001,-0.0
4.48001,1.00001,-0.0
4.50001,1.00001,-0.0
4.52001,1.00001,-0.0
4.54001,1.00001,-0.0
4.56001,1.00001,-0.0
4.58001,1.0,-0.0
4.60001,1.0,-0.0
4.62001,1.0,-0.0
4.64001,1.0,-0.0
4.66001,1.0,-0.0
4.68001,1.0,-0.0
4.70001,1.0,-0.0
4.72001,1.0,-0.0
4.74001,1.0,-0.0
4.76001,1.0,-0.0
4.78001,1.0,-0.0
4.80001,1.0,-0.0
4.82002,1.0,-0.0
4.84002,1.0,-0.0
4.86002,1.0,-0.0
4.88002,1.0,-0.0
4.90002,1.0,-0.0
4.92002,1.0,-0.0
4.94002,1.0,-0.0
4.96002,1.0,-0.0
4.98002,1.0,-0.0
5.00002,1.0,0.0
