ETA,F1,G1,F2,G2,F3,G3,F4,G4,F5,G5,F6,G6
0,0,1,0,1,0,1,-0.09589,1,-0.09589,1,-0.09589,1
0.02,0.11532,0.97134,0.12402,0.99591,0.13538,1.02977,0.11439,0.97138,0.12191,0.99384,0.13126,1.02335
0.04,0.22329,0.9417,0.2405,0.98611,0.26299,1.04721,0.22142,0.94197,0.2363,0.98306,0.25479,1.03677
0.06,0.32412,0.91121,0.34953,0.97127,0.38271,1.05374,0.32131,0.91173,0.34326,0.96745,0.37051,1.03999
0.08,0.41803,0.88001,0.45123,0.95206,0.49451,1.05072,0.41429,0.88079,0.44291,0.94763,0.47841,1.03431
0.1,0.50527,0.84823,0.54573,0.9291,0.59841,1.03943,0.50058,0.84928,0.5354,0.92421,0.57853,1.02096
0.12,0.58607,0.816,0.63322,0.90294,0.69452,1.02107,0.58043,0.81731,0.62092,0.89774,0.671,1.00109
0.14,0.66067,0.78344,0.7139,0.87412,0.78299,0.99676,0.65407,0.78501,0.69967,0.86873,0.75598,0.97576
0.16,0.72933,0.75067,0.788,0.84313,0.86402,0.96753,0.72177,0.75249,0.77188,0.83767,0.83367,0.94595
0.18,0.7923,0.71782,0.85577,0.81042,0.93784,0.93431,0.78376,0.71988,0.83781,0.80498,0.90432,0.91253
0.2,0.84983,0.685,0.91745,0.7764,1.00472,0.89797,0.84032,0.68728,0.8977,0.77106,0.9682,0.87633
0.22,0.90219,0.65233,0.97333,0.74145,1.06495,0.85927,0.89169,0.65481,0.95184,0.73629,1.02561,0.83804
0.24,0.94964,0.61992,1.02368,0.70592,1.11886,0.8189,0.93813,0.62257,1.00051,0.70098,1.07686,0.79832
0.26,0.99243,0.58786,1.06879,0.67011,1.16676,0.77747,0.97992,0.59066,1.04398,0.66543,1.12227,0.75772
0.28,1.03081,0.55627,1.10895,0.63429,1.20899,0.73551,1.0173,0.55917,1.08256,0.62991,1.16219,0.71672
0.3,1.06505,0.52523,1.14444,0.59872,1.24589,0.69348,1.05052,0.52821,1.11654,0.59465,1.19695,0.67576
0.32,1.0954,0.49484,1.17556,0.56361,1.27781,0.65177,1.07986,0.49786,1.1462,0.55986,1.22688,0.63519
0.34,1.12209,0.46517,1.2026,0.52916,1.30509,0.61072,1.10555,0.4682,1.17183,0.52572,1.25233,0.59531
0.36,1.14538,0.4363,1.22582,0.49552,1.32806,0.5706,1.12784,0.43931,1.19371,0.49238,1.27363,0.55637
0.38,1.16549,0.4083,1.24552,0.46283,1.34705,0.53165,1.14696,0.41125,1.21213,0.45998,1.29109,0.51857
0.4,1.18267,0.38122,1.26195,0.43121,1.36238,0.49405,1.16317,0.38408,1.22735,0.42863,1.30505,0.48208
0.42,1.19712,0.35512,1.27538,0.40076,1.37437,0.45794,1.17667,0.35787,1.23963,0.39842,1.31579,0.44702
0.44,1.20907,0.33005,1.28605,0.37154,1.3833,0.42342,1.18769,0.33266,1.24923,0.36942,1.32361,0.41348
0.46,1.21873,0.30603,1.29422,0.34363,1.38946,0.39057,1.19644,0.30848,1.25639,0.34168,1.32879,0.38153
0.48,1.22628,0.28309,1.3001,0.31705,1.39313,0.35943,1.20312,0.28537,1.26134,0.31525,1.33161,0.35121
