Ec,Xi,Eta,k,Fval,Gval
-1,0,0.0,1.0,0.0,1.0
-1,0,0.02,1.0,0.11532,0.97134
-1,0,0.04,1.0,0.22329,0.9417
-1,0,0.06,1.0,0.32412,0.91121
-1,0,0.08,1.0,0.41803,0.88001
-1,0,0.1,1.0,0.50527,0.84823
-1,0,0.12,1.0,0.58607,0.816
-1,0,0.14,1.0,0.66067,0.78344
-1,0,0.16,1.0,0.72933,0.75067
-1,0,0.18,1.0,0.7923,0.71782
-1,0,0.2,1.0,0.84983,0.685
-1,0,0.22,1.0,0.90219,0.65233
-1,0,0.24,1.0,0.94964,0.61992
-1,0,0.26,1.0,0.99243,0.58786
-1,0,0.28,1.0,1.03081,0.55627
-1,0,0.3,1.0,1.06505,0.52523
-1,0,0.32,1.0,1.0954,0.49484
-1,0,0.34,1.0,1.12209,0.46517
-1,0,0.36,1.0,1.14538,0.4363
-1,0,0.38,1.0,1.16549,0.4083
-1,0,0.4,1.0,1.18267,0.38122
-1,0,0.42,1.0,1.19712,0.35512
-1,0,0.44,1.0,1.20907,0.33005
-1,0,0.46,1.0,1.21873,0.30603
-1,0,0.48,1.0,1.22628,0.28309
-1,0,0.5,1.0,1.23193,0.26126
-1,0,0.52,1.0,1.23584,0.24054
-1,0,0.54,1.0,1.2382,0.22093
-1,0,0.56,1.0,1.23916,0.20244
-1,0,0.58,1.0,1.23887,0.18506
-1,0,0.6,1.0,1.23748,0.16876
-1,0,0.62,1.0,1.23512,0.15353
-1,0,0.64,1.0,1.23192,0.13933
-1,0,0.66,1.0,1.22798,0.12614
-1,0,0.68,1.0,1.22341,0.11393
-1,0,0.7,1.0,1.21832,0.10265
-1,0,0.72,1.0,1.21279,0.09226
-1,0,0.74,1.0,1.20689,0.08273
-1,0,0.76,1.0,1.20072,0.074
-1,0,0.78,1.0,1.19432,0.06603
-1,0,0.8,1.0,1.18777,0.05878
-1,0,0.82,1.0,1.18111,0.0522
-1,0,0.84,1.0,1.17439,0.04624
-1,0,0.86,1.0,1.16766,0.04087
-1,0,0.88,1.0,1.16095,0.03604
-1,0,0.9,1.0,1.15429,0.0317
-1,0,0.92,1.0,1.14772,0.02781
