    ETA       F       G
    0.00000   -0.09589    1.00000
    0.02000    0.12191    0.99384
    0.04000    0.23630    0.98306
    0.06000    0.34326    0.96745
    0.08000    0.44291    0.94763
    0.10000    0.53540    0.92421
    0.12000    0.62092    0.89774
    0.14000    0.69967    0.86873
    0.16000    0.77188    0.83767
    0.18000    0.83781    0.80498
    0.20000    0.89770    0.77106
    0.22000    0.95184    0.73629
    0.24000    1.00051    0.70098
    0.26000    1.04398    0.66543
    0.28000    1.08256    0.62991
    0.30000    1.11654    0.59465
    0.32000    1.14620    0.55986
    0.34000    1.17183    0.52572
    0.36000    1.19371    0.49238
    0.38000    1.21213    0.45998
    0.40000    1.22735    0.42863
    0.42000    1.23963    0.39842
    0.44000    1.24923    0.36942
    0.46000    1.25639    0.34168
    0.48000    1.26134    0.31525
    0.50000    1.26429    0.29016
    0.52000    1.26547    0.26641
    0.54000    1.26506    0.24401
    0.56000    1.26325    0.22295
    0.58000    1.26022    0.20322
    0.60000    1.25613    0.18478
    0.62000    1.25112    0.16760
    0.64000    1.24533    0.15166
    0.66000    1.23890    0.13690
    0.68000    1.23194    0.12327
    0.70000    1.22455    0.11074
    0.72000    1.21683    0.09923
    0.74000    1.20887    0.08871
    0.76000    1.20074    0.07911
    0.78000    1.19252    0.07038
    0.80000    1.18426    0.06246
    0.82000    1.17603    0.05530
    0.84000    1.16786    0.04884
    0.86000    1.15980    0.04304
    0.88000    1.15188    0.03783
    0.90000    1.14413    0.03317
    0.92000    1.13658    0.02902
    0.94000    1.12924    0.02533
    0.96000    1.12214    0.02206
    0.98000    1.11528    0.01916
    1.00000    1.10867    0.01660
    1.02000    1.10232    0.01436
    1.04000    1.09623    0.01239
    1.06000    1.09041    0.01066
    1.08000    1.08485    0.00915
    1.10000    1.07956    0.00784
    1.12000    1.07452    0.00670
    1.14000    1.06973    0.00572
    1.16000    1.06519    0.00487
    1.18000    1.06090    0.00413
    1.20000    1.05684    0.00350
    1.22000    1.05300    0.00296
    1.24000    1.04938    0.00250
    1.26000    1.04598    0.00210
    1.28000    1.04277    0.00177
    1.30000    1.03976    0.00148
    1.32000    1.03693    0.00124
    1.34000    1.03428    0.00103
    1.36000    1.03179    0.00086
    1.38000    1.02947    0.00072
    1.40000    1.02730    0.00059
    1.42000    1.02526    0.00049
    1.44000    1.02337    0.00041
    1.46000    1.02160    0.00034
    1.48000    1.01995    0.00028
    1.50000    1.01842    0.00023
    1.52000    1.01699    0.00019
    1.54000    1.01567    0.00015
    1.56000    1.01443    0.00013
    1.58000    1.01329    0.00010
    1.60000    1.01223    0.00008
    1.62000    1.01125    0.00007
    1.64000    1.01034    0.00005
    1.66000    1.00949    0.00004
    1.68000    1.00871    0.00004
    1.70000    1.00799    0.00003
    1.72000    1.00733    0.00002
    1.74000    1.00672    0.00002
    1.76000    1.00615    0.00002
    1.78000    1.00563    0.00001
    1.80000    1.00515    0.00001
    1.82000    1.00471    0.00001
    1.84000    1.00430    0.00001
    1.86000    1.00392    0.00001
    1.88000    1.00358    0.00000
    1.90000    1.00326    0.00000
    1.92000    1.00297    0.00000
    1.94000    1.00271    0.00000
    1.96000    1.00246    0.00000
    1.98000    1.00224    0.00000
    2.00000    1.00204    0.00000
    2.02000    1.00185    0.00000
    2.04000    1.00168    0.00000
    2.06000    1.00152    0.00000
    2.08000    1.00138    0.00000
    2.10000    1.00125    0.00000
    2.12000    1.00113    0.00000
