ETA,Cf1,Cf2,Cf3,Cf4,Cf5,Cf6,Cf7,Cf8,Cf9,Cf10,Cf11,Cf12
0,0.57784,1.48108,4.70317,7.49848,0.57784,1.48108,4.70317,7.49848,0.57784,1.48108,4.70317,7.49848
0.01,0.56699,1.47039,4.69233,7.48765,0.56699,1.47041,4.69237,7.48764,0.567,1.47038,4.69233,7.48765
0.02,0.53478,1.43806,4.66016,7.45539,0.53478,1.43813,4.66018,7.45546,0.53484,1.43815,4.66014,7.45543
0.03,0.48103,1.3843,4.60639,7.40163,0.48104,1.38446,4.60649,7.40169,0.48119,1.38448,4.60655,7.40161
0.04,0.40572,1.30905,4.53102,7.32625,0.4059,1.30917,4.53115,7.32634,0.4063,1.30942,4.53126,7.32627
0.05,0.30893,1.21224,4.43422,7.22947,0.30936,1.21254,4.43439,7.22951,0.31049,1.21318,4.43472,7.22965
0.06,0.19061,1.09394,4.31595,7.11119,0.19168,1.09458,4.31623,7.11124,0.19375,1.09595,4.31671,7.11145
0.07,0.05077,0.95414,4.17619,6.9715,0.05277,0.95539,4.17654,6.97147,0.0567,0.95783,4.17758,6.97178
0.08,-0.11048,0.79288,4.01488,6.81017,-0.10718,0.79495,4.01557,6.81032,-0.10032,0.79912,4.0172,6.81074
0.09,-0.29321,0.61008,3.83216,6.62743,-0.28788,0.61346,3.83332,6.62772,-0.27685,0.62017,3.83575,6.62844
0.1,-0.49741,0.40594,3.62793,6.42325,-0.48925,0.41106,3.62976,6.42367,-0.4726,0.42129,3.63345,6.42481
0.11,-0.72297,0.18038,3.40232,6.19758,-0.71089,0.18784,3.40505,6.19842,-0.68685,0.20284,3.41046,6.19997
0.12,-0.9698,-0.06648,3.1555,5.95064,-0.95269,-0.05593,3.1593,5.95184,-0.91906,-0.03484,3.16697,5.95411
0.13,-1.23788,-0.33458,2.88735,5.6825,-1.21438,-0.32002,2.89262,5.68422,-1.16867,-0.2912,2.90317,5.68728
0.14,-1.52712,-0.62382,2.5981,5.39324,-1.49558,-0.60423,2.6052,5.39539,-1.43502,-0.56572,2.61936,5.39966
0.15,-1.83732,-0.93405,2.2879,5.083,-1.79596,-0.90832,2.2972,5.08582,-1.71768,-0.85802,2.31582,5.09146
0.16,-2.16837,-1.26512,1.95674,4.75199,-2.1152,-1.2319,1.96891,4.75557,-2.01593,-1.16735,1.99292,4.76288
0.17,-2.52004,-1.61676,1.60503,4.4002,-2.45272,-1.5746,1.62046,4.40473,-2.32926,-1.49317,1.65106,4.41416
0.18,-2.89212,-1.98887,1.23293,4.02811,-2.80816,-1.9361,1.25233,4.03382,-2.65714,-1.83496,1.29061,4.04569
0.19,-3.28426,-2.38104,0.84073,3.63589,-3.18113,-2.31582,0.86478,3.64297,-2.99914,-2.19196,0.91219,3.65782
0.2,-3.69619,-2.79296,0.42873,3.2239,-3.57094,-2.71332,0.45819,3.23256,-3.35464,-2.56367,0.51626,3.25097
0.21,-4.12744,-3.22429,-0.00257,2.79254,-3.97716,-3.12798,0.03306,2.8032,-3.72327,-2.94932,0.10341,2.82564
0.22,-4.57766,-3.67455,-0.45288,2.34222,-4.39921,-3.55931,-0.41008,2.35509,-4.10442,-3.3483,-0.32567,2.38239
0.23,-5.04627,-4.14315,-0.9215,1.87357,-4.83639,-4.0065,-0.87049,1.88892,-4.49771,-3.75984,-0.77015,1.92187
0.24,-5.53267,-4.62958,-1.40787,1.38714,-5.28805,-4.46895,-1.34762,1.40539,-4.90248,-4.18328,-1.22933,1.44488
0.25,-6.03612,-5.13303,-1.91141,0.88356,-5.75337,-4.94569,-1.84069,0.90514,-5.3182,-4.61783,-1.70234,0.95216
0.26,-6.55592,-5.65287,-2.43129,0.36361,-6.23161,-5.43598,-2.34885,0.38901,-5.74425,-5.06271,-2.18818,0.44469
0.27,-7.09121,-6.18816,-2.9667,-0.1718,-6.72183,-5.93878,-2.87112,-0.14215,-6.17994,-5.51708,-2.68567,-0.07654
0.28,-7.64093,-6.73796,-3.51654,-0.72168,-7.22312,-6.45302,-3.40646,-0.68735,-6.62441,-5.98009,-3.1939,-0.61034
0.29,-8.20409,-7.30115,-4.07983,-1.28501,-7.73442,-6.97765,-3.95382,-1.24534,-7.07685,-6.45076,-3.7115,-1.15547
0.3,-8.77953,-7.87663,-4.65535,-1.86064,-8.25463,-7.5114,-4.51181,-1.81503,-7.53633,-6.92803,-4.23716,-1.71052
0.31,-9.36591,-8.46304,-5.24183,-2.44716,-8.78244,-8.05297,-5.07907,-2.39498,-8.00173,-7.41077,-4.76956,-2.27404
0.32,-9.96179,-9.05896,-5.83782,-3.04319,-9.31659,-8.60098,-5.65419,-2.98378,-8.47189,-7.89777,-5.30711,-2.84449
0.33,-10.56562,-9.6628,-6.44177,-3.64723,-9.85558,-9.15388,-6.23557,-3.57975,-8.94554,-8.38771,-5.84828,-3.41993
0.34,-11.17569,-10.27292,-7.05195,-4.25746,-10.39784,-9.70996,-6.82132,-4.18121,-9.42123,-8.87914,-6.39122,-3.99867
0.35,-11.79018,-10.88748,-7.66665,-4.87217,-10.94172,-10.26753,-7.40976,-4.78626,-9.8974,-9.3705,-6.93414,-4.57864
0.36,-12.4071,-11.50443,-8.28366,-5.48932,-11.48533,-10.82472,-7.99872,-5.3929,-10.37228,-9.86006,-7.47513,-5.15769
0.37,-13.02434,-12.12177,-8.90106,-6.10685,-12.0267,-11.37944,-8.58617,-5.99884,-10.84413,-10.34597,-8.0121,-5.73357
0.38,-13.63962,-12.73708,-9.51651,-6.72229,-12.56375,-11.92958,-9.16972,-6.60181,-11.31098,-10.82627,-8.54288,-6.3039
0.39,-14.25051,-13.348,-10.12752,-7.33345,-13.09422,-12.47289,-9.74706,-7.19954,-11.77064,-11.29886,-9.0652,-6.86613
0.4,-14.8544,-13.95195,-10.73159,-7.93754,-13.61571,-13.00693,-10.31555,-7.78915,-12.2208,-11.76144,-9.57658,-7.41776
0.41,-15.44859,-14.54618,-11.32596,-8.53198,-14.12572,-13.52913,-10.87254,-8.36799,-12.65914,-12.21164,-10.0745,-7.95597
0.42,-16.03014,-15.1278,-11.90769,-9.11382,-14.62158,-14.03678,-11.41515,-8.93309,-13.08306,-12.64692,-10.55628,-8.47792
0.43,-16.5961,-15.69381,-12.47382,-9.67997,-15.10044,-14.52711,-11.94048,-9.48157,-13.48987,-13.06455,-11.01919,-8.98062
0.44,-17.14327,-16.24098,-13.02111,-10.2274,-15.55937,-14.99714,-12.44539,-10.01,-13.87675,-13.4618,-11.46028,-9.46113
0.45,-17.66827,-16.76604,-13.54628,-10.75265,-15.99527,-15.44377,-12.92664,-10.51519,-14.24074,-13.83565,-11.87663,-9.91614
0.46,-18.16771,-17.26556,-14.04584,-11.25229,-16.405,-15.86379,-13.38097,-10.99381,-14.5788,-14.18311,-12.26512,-10.34255
