ETA,Nu1,Nu2,Nu3,Nu4,Nu5,Nu6
0,0.57784,4.70317,7.49848,0.57784,4.70317,7.49848
0.01,0.56699,4.69233,7.48765,0.567,4.69233,7.48765
0.02,0.53478,4.66016,7.45539,0.53484,4.66014,7.45543
0.03,0.48103,4.60639,7.40163,0.48119,4.60655,7.40161
0.04,0.40572,4.53102,7.32625,0.4063,4.53126,7.32627
0.05,0.30893,4.43422,7.22947,0.31049,4.43472,7.22965
0.06,0.19061,4.31595,7.11119,0.19375,4.31671,7.11145
0.07,0.05077,4.17619,6.9715,0.0567,4.17758,6.97178
0.08,-0.11048,4.01488,6.81017,-0.10032,4.0172,6.81074
0.09,-0.29321,3.83216,6.62743,-0.27685,3.83575,6.62844
0.1,-0.49741,3.62793,6.42325,-0.4726,3.63345,6.42481
0.11,-0.72297,3.40232,6.19758,-0.68685,3.41046,6.19997
0.12,-0.9698,3.1555,5.95064,-0.91906,3.16697,5.95411
0.13,-1.23788,2.88735,5.6825,-1.16867,2.90317,5.68728
0.14,-1.52712,2.5981,5.39324,-1.43502,2.61936,5.39966
0.15,-1.83732,2.2879,5.083,-1.71768,2.31582,5.09146
0.16,-2.16837,1.95674,4.75199,-2.01593,1.99292,4.76288
0.17,-2.52004,1.60503,4.4002,-2.32926,1.65106,4.41416
0.18,-2.89212,1.23293,4.02811,-2.65714,1.29061,4.04569
0.19,-3.28426,0.84073,3.63589,-2.99914,0.91219,3.65782
0.2,-3.69619,0.42873,3.2239,-3.35464,0.51626,3.25097
0.21,-4.12744,-0.00257,2.79254,-3.72327,0.10341,2.82564
0.22,-4.57766,-0.45288,2.34222,-4.10442,-0.32567,2.38239
0.23,-5.04627,-0.9215,1.87357,-4.49771,-0.77015,1.92187
0.24,-5.53267,-1.40787,1.38714,-4.90248,-1.22933,1.44488
0.25,-6.03612,-1.91141,0.88356,-5.3182,-1.70234,0.95216
0.26,-6.55592,-2.43129,0.36361,-5.74425,-2.18818,0.44469
0.27,-7.09121,-2.9667,-0.1718,-6.17994,-2.68567,-0.07654
0.28,-7.64093,-3.51654,-0.72168,-6.62441,-3.1939,-0.61034
0.29,-8.20409,-4.07983,-1.28501,-7.07685,-3.7115,-1.15547
0.3,-8.77953,-4.65535,-1.86064,-7.53633,-4.23716,-1.71052
0.31,-9.36591,-5.24183,-2.44716,-8.00173,-4.76956,-2.27404
0.32,-9.96179,-5.83782,-3.04319,-8.47189,-5.30711,-2.84449
0.33,-10.56562,-6.44177,-3.64723,-8.94554,-5.84828,-3.41993
0.34,-11.17569,-7.05195,-4.25746,-9.42123,-6.39122,-3.99867
0.35,-11.79018,-7.66665,-4.87217,-9.8974,-6.93414,-4.57864
0.36,-12.4071,-8.28366,-5.48932,-10.37228,-7.47513,-5.15769
0.37,-13.02434,-8.90106,-6.10685,-10.84413,-8.0121,-5.73357
0.38,-13.63962,-9.51651,-6.72229,-11.31098,-8.54288,-6.3039
0.39,-14.25051,-10.12752,-7.33345,-11.77064,-9.0652,-6.86613
0.4,-14.8544,-10.73159,-7.93754,-12.2208,-9.57658,-7.41776
0.41,-15.44859,-11.32596,-8.53198,-12.65914,-10.0745,-7.95597
0.42,-16.03014,-11.90769,-9.11382,-13.08306,-10.55628,-8.47792
0.43,-16.5961,-12.47382,-9.67997,-13.48987,-11.01919,-8.98062
0.44,-17.14327,-13.02111,-10.2274,-13.87675,-11.46028,-9.46113
0.45,-17.66827,-13.54628,-10.75265,-14.24074,-11.87663,-9.91614
0.46,-18.16771,-14.04584,-11.25229,-14.5788,-12.26512,-10.34255
0.47,-18.63805,-14.5164,-11.72291,-14.88772,-12.62252,-10.73694
0.48,-19.07558,-14.9541,-12.16072,-15.16435,-12.94556,-11.09599
0.49,-19.47661,-15.35525,-12.56199,-15.40527,-13.23092,-11.41626
0.5,-19.83725,-15.71605,-12.92283,-15.6071,-13.47522,-11.69424
0.51,-20.15363,-16.03251,-13.23941,-15.7664,-13.67497,-11.92647
0.52,-20.42182,-16.30088,-13.50778,-15.87981,-13.82678,-12.10946
0.53,-20.63793,-16.51706,-13.72406,-15.94376,-13.92723,-12.23969
0.54,-20.79803,-16.67721,-13.88426,-15.95497,-13.9729,-12.31381
0.55,-20.89818,-16.77746,-13.98456,-15.91,-13.96048,-12.32828
0.56,-20.93464,-16.81399,-14.02113,-15.80562,-13.88667,-12.28001
0.57,-20.90371,-16.78312,-13.99029,-15.63874,-13.74839,-12.16574
0.58,-20.80186,-16.6813,-13.88845,-15.40633,-13.54267,-11.98258
0.59,-20.62573,-16.50514,-13.71232,-15.10568,-13.26669,-11.72766
0.6,-20.37217,-16.25159,-13.45875,-14.73422,-12.91805,-11.39847
0.61,-20.03834,-15.91771,-13.12485,-14.28971,-12.4944,-10.99276
0.62,-19.62169,-15.50099,-12.7081,-13.7702,-11.99384,-10.50856
0.63,-19.12002,-14.99922,-12.20633,-13.17417,-11.41479,-9.94428
0.64,-18.53156,-14.41062,-11.61776,-12.50048,-10.75606,-9.29879
0.65,-17.85499,-13.73394,-10.94099,-11.74842,-10.01703,-8.57135
0.66,-17.08951,-12.96829,-10.17526,-10.91782,-9.1974,-7.76172
0.67,-16.23483,-12.1134,-9.32035,-10.00911,-8.29763,-6.87021
0.68,-15.29137,-11.16976,-8.37653,-9.02322,-7.31855,-5.8977
0.69,-14.26003,-10.13815,-7.3449,-7.96177,-6.26177,-4.84578
0.7,-13.14254,-9.0204,-6.22707,-6.82712,-5.12954,-3.71655
0.71,-11.94129,-7.8189,-5.02546,-5.62225,-3.92476,-2.51298
0.72,-10.65956,-6.5369,-3.74333,-4.35096,-2.65119,-1.23867
0.73,-9.30127,-5.17836,-2.38464,-3.01783,-1.31322,0.10201
0.74,-7.87131,-3.74808,-0.95424,-1.62825,0.08383,1.50386
0.75,-6.37534,-2.25186,0.54209,-0.18844,1.53393,2.96094
0.76,-4.81996,-0.69623,2.09775,1.29455,3.03018,4.46646
0.77,-3.21265,0.91131,3.70538,2.81285,4.56495,6.01285
0.78,-1.56175,2.56243,5.35664,4.35767,6.12965,7.59174
0.79,0.12346,4.24791,7.04222,5.91949,7.71503,9.19404
0.8,1.833,5.95761,8.752,7.48788,9.31106,10.8098
0.81,3.55591,7.68069,10.47516,9.05183,10.90692,12.42858
0.82,5.2805,9.40544,12.19991,10.59946,12.49135,14.03913
0.83,6.99441,11.11952,13.91402,12.1184,14.05229,15.62972
0.84,8.68467,12.80986,15.60439,13.59559,15.57736,17.18818
0.85,10.33764,14.46288,17.25748,15.0176,17.0537,18.70189
0.86,11.93921,16.06446,18.85903,16.3706,18.46833,20.15811
0.87,13.47504,17.60028,20.39484,17.64069,19.80804,21.5439
0.88,14.93046,19.0557,21.8502,18.81373,21.05983,22.84636
0.89,16.29081,20.41592,23.21043,19.87583,22.21082,24.05277
0.9,17.5414,21.66647,24.46092,20.81335,23.24862,25.15069
0.91,18.66781,22.79281,25.58726,21.61327,24.1615,26.12824
0.92,19.65616,23.78108,26.57549,22.26332,24.93864,26.97414
0.93,20.49303,24.61787,27.41221,22.75243,25.5703,27.67784
0.94,21.16589,25.29065,28.08502,23.07117,26.04797,28.2297
0.95,21.66317,25.78785,28.58222,23.21213,26.3648,28.62106
0.96,21.97455,26.09919,28.89351,23.17101,26.51544,28.84424
0.97,22.09111,26.21569,29.01002,22.94787,26.49629,28.89279
0.98,22.00556,26.13012,28.92451,22.54998,26.3053,28.76125
0.99,21.71251,25.83705,28.63147,21.99796,25.94193,28.4455
1,21.20846,25.33302,28.12748,21.33367,25.40674,27.94281
1.01,20.49219,24.61679,27.41132,20.60602,24.70118,27.25175
1.02,19.56488,23.68951,26.48409,19.82105,23.82749,26.37278
1.03,18.4301,22.55481,25.34949,18.94748,22.78857,25.30834
1.04,17.09418,21.21895,24.0137,17.95405,21.58808,24.06316
1.05,15.56606,19.6909,22.48576,16.82089,20.23095,22.64445
1.06,13.85754,17.98241,20.77733,15.53826,18.72378,21.06216
1.07,11.98308,16.10802,18.90303,14.10456,17.07537,19.32891
1.08,9.96005,14.08503,16.88013,12.52477,15.29694,17.46013
1.09,7.80846,11.93343,14.72862,10.80969,13.40253,15.47366
1.1,5.55093,9.67592,12.47111,8.97504,11.40905,13.38962
1.11,3.21251,7.3374,10.13262,7.04076,9.33615,11.23053
1.12,0.82043,4.94522,7.7404,5.03036,7.20614,9.02042
1.13,-1.59605,2.5286,5.32374,2.97011,5.04374,6.78527
1.14,-4.00606,0.11835,2.9135,0.88859,2.87563,4.55233
1.15,-6.37741,-2.25324,0.54172,-1.18404,0.73021,2.3502
1.16,-8.67706,-4.5532,-1.75833,-3.21649,-1.36286,0.20826
1.17,-10.87162,-6.74812,-3.95338,-5.17709,-3.37323,-1.84338
1.18,-12.92769,-8.80456,-6.00996,-7.03411,-5.2704,-3.77466
1.19,-14.81252,-10.68982,-7.89543,-8.75632,-7.02397,-5.55557
1.2,-16.49459,-12.37229,-9.57811,-10.31378,-8.60458,-7.15712
1.21,-17.94413,-13.8222,-11.02826,-11.67796,-9.98424,-8.55152
1.22,-19.13365,-15.01211,-12.21837,-12.82271,-11.13702,-9.71308
1.23,-20.0387,-15.91747,-13.12394,-13.72462,-12.03963,-10.61851
1.24,-20.63833,-16.51738,-13.72403,-14.36352,-12.67181,-11.24765
1.25,-20.91565,-16.79495,-14.00178,-14.72321,-13.01716,-11.584
1.26,-20.85844,-16.73798,-13.94488,-14.79178,-13.06331,-11.61493
1.27,-20.4596,-16.33925,-13.54626,-14.56199,-12.80262,-11.33262
1.28,-19.71744,-15.59709,-12.80419,-14.03199,-12.23235,-10.73393
1.29,-18.63619,-14.51574,-11.72288,-13.2051,-11.35492,-9.82095
1.3,-17.22605,-13.10541,-10.31257,-12.09048,-10.17829,-8.60103
1.31,-15.50347,-11.38256,-8.58975,-10.70296,-8.71573,-7.08706
1.32,-13.49115,-9.36989,-6.57704,-9.06299,-6.98589,-5.2972
1.33,-11.2179,-7.09632,-4.30334,-7.19652,-5.0125,-3.25496
1.34,-8.71855,-4.5965,-1.80341,-5.13458,-2.82402,-0.98868
1.35,-6.03324,-1.91073,0.88244,-2.91257,-0.45299,1.46858
1.36,-3.20731,0.91558,3.70893,-0.56941,2.06446,4.07933
1.37,-0.29046,3.83283,6.62629,1.85382,4.68958,6.80241
1.38,2.66398,6.78764,9.58113,4.31605,7.38162,9.5929
1.39,5.59995,9.72393,12.51754,6.78012,10.09821,12.40267
1.4,8.45973,12.58406,15.37775,9.21987,12.79565,15.18064
1.41,11.18519,15.30972,18.1035,11.63473,15.42809,17.87313
1.42,13.71865,17.84336,20.63719,14.054,17.94704,20.42444
1.43,16.00445,20.12928,22.92318,16.46726,20.30046,22.77814
1.44,17.99021,22.11517,24.9091,18.77962,22.43339,24.87831
1.45,19.62806,23.75301,26.54707,20.87639,24.28932,26.67156
1.46,20.87596,25.00096,27.79506,22.66094,25.81333,28.109
1.47,21.69898,25.82406,28.61826,24.0577,26.9551,29.14808
1.48,22.07044,26.19561,28.98992,25.00976,27.67207,29.75439
1.49,21.97291,26.09816,28.89264,25.47751,27.93167,29.90256
1.5,21.39907,25.52444,28.31904,25.43751,27.71306,29.57756
1.51,20.35227,24.47776,27.27253,24.88178,27.0078,28.77512
1.52,18.84712,22.97273,25.76768,23.81682,25.8204,27.5022
1.53,16.90946,21.03519,23.83035,22.26285,24.16829,25.77739
1.54,14.57636,18.70224,21.49757,20.25271,22.08151,23.63091
1.55,11.89584,16.02178,18.8173,17.83122,19.6021,21.1045
1.56,8.92592,13.05182,15.84751,15.05388,16.7834,18.25078
1.57,5.73366,9.8595,12.65529,11.9858,13.68885,15.13252
1.58,2.39398,6.51963,9.31547,8.70043,10.39073,11.82136
1.59,-1.01207,3.11332,5.90916,5.27785,6.96846,8.39633
1.6,-4.3992,-0.27414,2.52163,1.80311,3.5069,4.94208
1.61,-7.67977,-3.55519,-0.75958,-1.63594,0.09421,1.54692
1.62,-10.7664,-6.64234,-3.84693,-4.95068,-3.18022,-1.69958
1.63,-13.57394,-9.45047,-6.65535,-8.054,-6.22795,-4.70851
1.64,-16.02229,-11.89945,-9.10462,-10.86272,-8.96397,-7.39427
1.65,-18.03862,-13.91644,-11.12198,-13.29992,-11.30885,-9.67673
1.66,-19.55988,-15.43833,-12.64417,-15.29683,-13.19076,-11.48356
1.67,-20.53495,-16.41397,-13.62018,-16.79498,-14.54734,-12.75235
1.68,-20.92663,-16.80612,-14.01265,-17.74747,-15.32749,-13.43269
1.69,-20.71329,-16.59315,-13.79995,-18.11953,-15.49216,-13.48818
1.7,-19.89026,-15.77033,-12.9774,-17.88792,-15.01611,-12.89837
1.71,-18.47066,-14.35082,-11.55803,-17.03749,-13.8889,-11.6608
1.72,-16.48558,-12.36562,-9.57297,-15.55148,-12.11703,-9.79322
1.73,-13.98409,-9.86384,-7.07122,-13.39187,-9.72742,-7.33492
1.74,-11.03226,-6.9116,-4.11904,-10.50916,-6.77143,-4.34811
1.75,-7.71196,-3.59082,-0.7982,-6.95656,-3.32783,-0.91686
1.76,-4.11885,0.0028,2.79549,-2.90632,0.49811,2.85498
1.77,-0.35995,3.76224,6.55503,1.44569,4.57895,6.84789
1.78,3.4494,7.57216,10.36504,5.91458,8.77318,10.93155
1.79,7.18906,11.3123,14.10527,10.32881,12.93287,14.96984
1.8,10.73765,14.86129,17.65439,14.52981,16.91062,18.826
1.81,13.97668,18.10066,20.89388,18.37244,20.56546,22.36689
1.82,16.79443,20.91878,23.71215,21.72674,23.76707,25.46748
1.83,19.0905,23.21512,26.00866,24.47961,26.3999,28.01511
1.84,20.7791,24.90399,27.69771,26.537,28.3665,29.91341
1.85,21.79296,25.91817,28.7121,27.82606,29.59058,31.08598
1.86,22.08628,26.21179,29.006,28.29741,30.01974,31.47997
1.87,21.63718,25.76306,28.55757,27.92706,29.62788,31.06828
1.88,20.44956,24.57575,27.37062,26.71793,28.41656,29.8519
1.89,18.55357,22.68006,25.47529,24.70078,26.41587,27.86056
1.9,16.00582,20.13256,22.92811,21.93405,23.68472,25.15311
1.91,12.88812,17.01495,19.81085,18.50305,20.30955,21.81636
1.92,9.30539,13.43221,16.22843,14.5179,16.40279,17.96334
1.93,5.38261,9.50938,12.30575,10.11111,12.10003,13.73024
1.94,1.26087,5.38742,8.1839,5.43365,7.55656,9.2729
1.95,-2.90756,1.21858,4.01504,0.65105,2.94327,4.76171
1.96,-6.96465,-2.8391,-0.04279,-4.06047,-1.55811,0.37605
1.97,-10.7526,-6.62785,-3.83178,-8.51755,-5.76067,-3.70262
1.98,-14.12012,-9.99622,-7.20055,-12.52962,-9.47873,-7.29878
1.99,-16.92876,-12.80576,-10.01054,-15.89084,-12.53726,-10.25233
2,-19.05861,-14.9365,-12.1418,-18.36141,-14.78394,-12.428
