Ri,M,Eta,k,Nuval
-1,0,0.0,1.0,0.57784
-1,0,0.01,1.0,0.56699
-1,0,0.02,1.0,0.53478
-1,0,0.03,1.0,0.48103
-1,0,0.04,1.0,0.40572
-1,0,0.05,1.0,0.30893
-1,0,0.06,1.0,0.19061
-1,0,0.07,1.0,0.05077
-1,0,0.08,1.0,-0.11048
-1,0,0.09,1.0,-0.29321
-1,0,0.1,1.0,-0.49741
-1,0,0.11,1.0,-0.72297
-1,0,0.12,1.0,-0.9698
-1,0,0.13,1.0,-1.23788
-1,0,0.14,1.0,-1.52712
-1,0,0.15,1.0,-1.83732
-1,0,0.16,1.0,-2.16837
-1,0,0.17,1.0,-2.52004
-1,0,0.18,1.0,-2.89212
-1,0,0.19,1.0,-3.28426
-1,0,0.2,1.0,-3.69619
-1,0,0.21,1.0,-4.12744
-1,0,0.22,1.0,-4.57766
-1,0,0.23,1.0,-5.04627
-1,0,0.24,1.0,-5.53267
-1,0,0.25,1.0,-6.03612
-1,0,0.26,1.0,-6.55592
-1,0,0.27,1.0,-7.09121
-1,0,0.28,1.0,-7.64093
-1,0,0.29,1.0,-8.20409
-1,0,0.3,1.0,-8.77953
-1,0,0.31,1.0,-9.36591
-1,0,0.32,1.0,-9.96179
-1,0,0.33,1.0,-10.56562
-1,0,0.34,1.0,-11.17569
-1,0,0.35,1.0,-11.79018
-1,0,0.36,1.0,-12.4071
-1,0,0.37,1.0,-13.02434
-1,0,0.38,1.0,-13.63962
-1,0,0.39,1.0,-14.25051
-1,0,0.4,1.0,-14.8544
-1,0,0.41,1.0,-15.44859
-1,0,0.42,1.0,-16.03014
-1,0,0.43,1.0,-16.5961
-1,0,0.44,1.0,-17.14327
-1,0,0.45,1.0,-17.66827
-1,0,0.46,1.0,-18.16771
-1,0,0.47,1.0,-18.63805
-1,0,0.48,1.0,-19.07558
-1,0,0.49,1.0,-19.47661
-1,0,0.5,1.0,-19.83725
-1,0,0.51,1.0,-20.15363
-1,0,0.52,1.0,-20.42182
-1,0,0.53,1.0,-20.63793
-1,0,0.54,1.0,-20.79803
-1,0,0.55,1.0,-20.89818
-1,0,0.56,1.0,-20.93464
-1,0,0.57,1.0,-20.90371
-1,0,0.58,1.0,-20.80186
-1,0,0.59,1.0,-20.62573
-1,0,0.6,1.0,-20.37217
-1,0,0.61,1.0,-20.03834
-1,0,0.62,1.0,-19.62169
-1,0,0.63,1.0,-19.12002
-1,0,0.64,1.0,-18.53156
-1,0,0.65,1.0,-17.85499
-1,0,0.66,1.0,-17.08951
-1,0,0.67,1.0,-16.23483
-1,0,0.68,1.0,-15.29137
-1,0,0.69,1.0,-14.26003
-1,0,0.7,1.0,-13.14254
-1,0,0.71,1.0,-11.94129
-1,0,0.72,1.0,-10.65956
-1,0,0.73,1.0,-9.30127
-1,0,0.74,1.0,-7.87131
-1,0,0.75,1.0,-6.37534
-1,0,0.76,1.0,-4.81996
-1,0,0.77,1.0,-3.21265
-1,0,0.78,1.0,-1.56175
-1,0,0.79,1.0,0.12346
-1,0,0.8,1.0,1.833
-1,0,0.81,1.0,3.55591
-1,0,0.82,1.0,5.2805
-1,0,0.83,1.0,6.99441
-1,0,0.84,1.0,8.68467
-1,0,0.85,1.0,10.33764
-1,0,0.86,1.0,11.93921
-1,0,0.87,1.0,13.47504
-1,0,0.88,1.0,14.93046
-1,0,0.89,1.0,16.29081
-1,0,0.9,1.0,17.5414
-1,0,0.91,1.0,18.66781
-1,0,0.92,1.0,19.65616
-1,0,0.93,1.0,20.49303
-1,0,0.94,1.0,21.16589
-1,0,0.95,1.0,21.66317
-1,0,0.96,1.0,21.97455
-1,0,0.97,1.0,22.09111
-1,0,0.98,1.0,22.00556
-1,0,0.99,1.0,21.71251
-1,0,1.0,1.0,21.20846
-1,0,1.01,1.0,20.49219
-1,0,1.02,1.0,19.56488
-1,0,1.03,1.0,18.4301
-1,0,1.04,1.0,17.09418
-1,0,1.05,1.0,15.56606
-1,0,1.06,1.0,13.85754
-1,0,1.07,1.0,11.98308
