ETA,Cf
0.0,4.70317
0.01,4.69237
0.02,4.66018
0.03,4.60649
0.04,4.53115
0.05,4.43439
0.06,4.31623
0.07,4.17654
0.08,4.01557
0.09,3.83332
0.1,3.62976
0.11,3.40505
0.12,3.1593
0.13,2.89262
0.14,2.6052
0.15,2.2972
0.16,1.96891
0.17,1.62046
0.18,1.25233
0.19,0.86478
0.2,0.45819
0.21,0.03306
0.22,-0.41008
0.23,-0.87049
0.24,-1.34762
0.25,-1.84069
0.26,-2.34885
0.27,-2.87112
0.28,-3.40646
0.29,-3.95382
0.3,-4.51181
0.31,-5.07907
0.32,-5.65419
0.33,-6.23557
0.34,-6.82132
0.35,-7.40976
0.36,-7.99872
0.37,-8.58617
0.38,-9.16972
0.39,-9.74706
0.4,-10.31555
0.41,-10.87254
0.42,-11.41515
0.43,-11.94048
0.44,-12.44539
0.45,-12.92664
0.46,-13.38097
0.47,-13.8049
0.48,-14.195
0.49,-14.54763
0.5,-14.85913
0.51,-15.12584
0.52,-15.34401
0.53,-15.51001
0.54,-15.6201
0.55,-15.67069
0.56,-15.65819
0.57,-15.57936
0.58,-15.43077
0.59,-15.20952
0.6,-14.91261
0.61,-14.53767
0.62,-14.08236
0.63,-13.54484
0.64,-12.92367
0.65,-12.21785
0.66,-11.42686
0.67,-10.55071
0.68,-9.59013
0.69,-8.54635
0.7,-7.42134
0.71,-6.21775
0.72,-4.93909
0.73,-3.5895
0.74,-2.17405
0.75,-0.69857
0.76,0.83025
0.77,2.4049
0.78,4.01701
0.79,5.65745
0.8,7.3161
0.81,8.98237
0.82,10.64478
0.83,12.29132
0.84,13.9093
0.85,15.48566
0.86,17.007
0.87,18.45961
0.88,19.82968
0.89,21.1035
0.9,22.26747
0.91,23.30846
0.92,24.21379
0.93,24.97152
0.94,25.57053
0.95,26.00086
0.96,26.2537
0.97,26.32161
0.98,26.19877
0.99,25.88092
1.0,25.3657
1.01,24.65252
1.02,23.74295
1.03,22.64063
1.04,21.35142
1.05,19.88347
1.06,18.24746
1.07,16.45642
1.08,14.52596
1.09,12.47419
1.1,10.32167
1.11,8.0913
1.12,5.80821
1.13,3.49954
1.14,1.19399
1.15,-1.0782
1.16,-3.28583
1.17,-5.39724
1.18,-7.38068
1.19,-9.20482
1.2,-10.83937
1.21,-12.25558
1.22,-13.42687
1.23,-14.32938
1.24,-14.94257
1.25,-15.2497
1.26,-15.23836
1.27,-14.90099
1.28,-14.23513
1.29,-13.24384
1.3,-11.93589
1.31,-10.32578
1.32,-8.43401
1.33,-6.28656
1.34,-3.91511
1.35,-1.3563
1.36,1.34836
1.37,4.15338
1.38,7.00976
1.39,9.86565
1.4,12.66718
1.41,15.35932
