ETA,Ec1,Ec2,Ec3
0,7.49838,6.39758,6.39758
0.005,7.48754,6.38703,6.38698
0.01,7.45535,6.35475,6.35461
0.015,7.4016,6.30096,6.30102
0.02,7.32622,6.22564,6.22559
0.025,7.22987,6.12878,6.12874
0.03,7.11154,6.01062,6.01056
0.035,6.97164,5.87057,5.87062
0.04,6.81029,5.7095,5.70942
0.045,6.62737,5.52647,5.52652
0.05,6.42322,5.32208,5.32245
0.055,6.19735,5.09634,5.09678
0.06,5.95017,4.84917,4.84951
0.065,5.68124,4.58032,4.58101
0.07,5.39116,4.29028,4.29098
0.075,5.07977,3.97886,3.97976
0.08,4.74668,3.64609,3.64719
0.085,4.39257,3.29188,3.29353
0.09,4.01707,2.91639,2.91855
0.095,3.62065,2.51973,2.52244
0.1,3.20318,2.10203,2.10558
0.105,2.76464,1.66338,1.66776
0.11,2.30543,1.20389,1.20905
0.115,1.8254,0.72383,0.72992
0.12,1.32471,0.2231,0.23019
0.125,0.80361,-0.29801,-0.28975
0.13,0.2625,-0.83942,-0.82973
0.135,-0.29876,-1.40084,-1.38953
0.14,-0.87959,-1.98176,-1.96895
0.145,-1.47979,-2.58241,-2.56744
0.15,-2.09906,-3.20206,-3.18504
0.155,-2.73711,-3.84062,-3.82104
0.16,-3.39355,-4.49745,-4.47524
0.165,-4.06814,-5.17241,-5.14734
0.17,-4.76024,-5.8649,-5.83665
0.175,-5.46918,-6.57448,-6.54268
0.18,-6.19476,-7.30059,-7.26512
0.185,-6.93625,-8.04265,-8.00308
0.19,-7.69307,-8.80011,-8.75581
0.195,-8.4644,-9.57208,-9.52303
0.2,-9.24961,-10.35803,-10.30376
0.205,-10.04778,-11.15699,-11.09729
0.21,-10.85807,-11.96822,-11.90257
0.215,-11.67974,-12.79084,-12.71871
0.22,-12.5118,-13.62394,-13.54487
0.225,-13.35299,-14.4662,-14.3798
0.23,-14.20234,-15.31676,-15.22252
0.235,-15.05871,-16.17449,-16.07171
0.24,-15.92104,-17.03803,-16.92618
0.245,-16.78763,-17.90608,-17.78475
0.25,-17.6572,-18.77726,-18.64568
0.255,-18.52845,-19.65028,-19.50784
0.26,-19.39967,-20.52323,-20.36961
0.265,-20.26954,-21.39488,-21.22932
0.27,-21.13611,-22.26348,-22.08512
0.275,-21.99775,-23.12717,-22.93542
0.28,-22.85245,-23.98413,-23.77824
0.285,-23.69855,-24.83255,-24.61188
0.29,-24.53392,-25.67048,-25.43406
0.295,-25.35643,-26.49547,-26.24283
0.3,-26.16397,-27.30607,-27.03621
0.305,-26.95435,-28.09949,-27.81167
0.31,-27.72538,-28.87368,-28.567
0.315,-28.47477,-29.62622,-29.3
0.32,-29.19978,-30.35487,-30.00807
0.325,-29.89837,-31.05713,-30.68891
0.33,-30.56769,-31.73034,-31.33986
0.335,-31.20527,-32.37205,-31.95832
0.34,-31.80848,-32.97951,-32.54169
0.345,-32.37454,-33.55011,-33.08731
0.35,-32.90084,-34.08121,-33.5924
0.355,-33.38458,-34.57003,-34.05418
0.36,-33.82318,-35.01377,-34.4701
0.365,-34.21365,-35.40962,-34.83725
0.37,-34.55319,-35.75487,-35.15273
0.375,-34.83915,-36.04681,-35.41395
0.38,-35.06858,-36.28245,-35.61798
0.385,-35.23893,-36.45918,-35.76216
0.39,-35.34731,-36.57446,-35.84387
0.395,-35.39122,-36.62536,-35.86049
0.4,-35.36802,-36.60941,-35.80908
0.405,-35.27501,-36.52399,-35.68737
0.41,-35.10971,-36.36671,-35.49296
0.415,-34.86996,-36.13517,-35.22359
0.42,-34.55346,-35.82713,-34.87666
0.425,-34.15806,-35.44055,-34.45024
0.43,-33.68177,-34.97342,-33.9425
0.435,-33.12291,-34.42382,-33.35158
0.44,-32.47957,-33.79017,-32.67594
0.445,-31.75053,-33.07117,-31.91411
0.45,-30.93451,-32.26535,-31.06488
0.455,-30.03054,-31.372,-30.12713
0.46,-29.03773,-30.38994,-29.10044
0.465,-27.9557,-29.31911,-27.98413
0.47,-26.78419,-28.15903,-26.77807
0.475,-25.52332,-26.90975,-25.4825
0.48,-24.17344,-25.57176,-24.09761
0.485,-22.73534,-24.1458,-22.62423
0.49,-21.2099,-22.63292,-21.0635
0.495,-19.59877,-21.03444,-19.41684
0.5,-17.90375,-19.35207,-17.68619
0.505,-16.12884,-17.58805,-15.87208
0.515,-12.34046,-13.82645,-12.01399
0.525,-8.26108,-9.77475,-7.86455
0.535,-3.92409,-5.4655,-3.45782
0.545,0.63113,-0.9383,1.16621
0.555,5.35758,3.76044,5.96042
0.565,10.20171,8.57703,10.87072
0.575,15.1031,13.45119,15.83635
0.585,19.995,18.31673,20.79033
0.595,24.8053,23.1015,25.65997
0.605,29.45699,27.72874,30.36811
0.615,33.86967,32.11829,34.83372
0.625,37.96084,36.18778,38.97406
0.635,41.64689,39.85392,42.70527
0.645,44.84566,43.03521,45.9448
0.655,47.47829,45.65224,48.61323
0.665,49.47061,47.63142,50.63619
0.675,50.75657,48.90678,51.94707
0.685,51.27924,49.42187,52.48885
0.695,50.99435,49.13222,52.21671
0.705,49.87167,48.00829,51.10047
0.715,47.89829,46.03657,49.12621
