ETA,Nu1,Nu2,Nu3
0,6.39758,6.39758,6.39758
0.005,6.38703,6.38703,6.38698
0.01,6.35475,6.35485,6.35461
0.015,6.30096,6.30115,6.30102
0.02,6.22564,6.22566,6.22559
0.025,6.12878,6.12898,6.12874
0.03,6.01062,6.01069,6.01056
0.035,5.87057,5.87082,5.87062
0.04,5.7095,5.70953,5.70942
0.045,5.52647,5.52648,5.52652
0.05,5.32208,5.32216,5.32245
0.055,5.09634,5.09635,5.09678
0.06,4.84917,4.84934,4.84951
0.065,4.58032,4.58052,4.58101
0.07,4.29028,4.29061,4.29098
0.075,3.97886,3.97927,3.97976
0.08,3.64609,3.64628,3.64719
0.085,3.29188,3.29221,3.29353
0.09,2.91639,2.91695,2.91855
0.095,2.51973,2.5207,2.52244
0.1,2.10203,2.1033,2.10558
0.105,1.66338,1.66496,1.66776
0.11,1.20389,1.20578,1.20905
0.115,0.72383,0.72593,0.72992
0.12,0.2231,0.22554,0.23019
0.125,-0.29801,-0.29512,-0.28975
0.13,-0.83942,-0.8362,-0.82973
0.135,-1.40084,-1.39702,-1.38953
0.14,-1.98176,-1.97749,-1.96895
0.145,-2.58241,-2.57737,-2.56744
0.15,-3.20206,-3.19638,-3.18504
0.155,-3.84062,-3.83418,-3.82104
0.16,-4.49745,-4.49017,-4.47524
0.165,-5.17241,-5.16409,-5.14734
0.17,-5.8649,-5.85554,-5.83665
0.175,-6.57448,-6.56401,-6.54268
0.18,-7.30059,-7.28884,-7.26512
0.185,-8.04265,-8.02958,-8.00308
0.19,-8.80011,-8.78536,-8.75581
0.195,-9.57208,-9.5557,-9.52303
0.2,-10.35803,-10.33999,-10.30376
0.205,-11.15699,-11.13717,-11.09729
0.21,-11.96822,-11.94642,-11.90257
0.215,-12.79084,-12.7668,-12.71871
0.22,-13.62394,-13.59759,-13.54487
0.225,-14.4662,-14.43746,-14.3798
0.23,-15.31676,-15.28539,-15.22252
0.235,-16.17449,-16.14033,-16.07171
0.24,-17.03803,-17.00087,-16.92618
0.245,-17.90608,-17.86578,-17.78475
0.25,-18.77726,-18.73355,-18.64568
0.255,-19.65028,-19.60285,-19.50784
0.26,-20.52323,-20.47223,-20.36961
0.265,-21.39488,-21.33991,-21.22932
0.27,-22.26348,-22.20419,-22.08512
0.275,-23.12717,-23.06348,-22.93542
0.28,-23.98413,-23.91582,-23.77824
0.285,-24.83255,-24.75933,-24.61188
0.29,-25.67048,-25.59202,-25.43406
0.295,-26.49547,-26.41177,-26.24283
0.3,-27.30607,-27.2164,-27.03621
0.305,-28.09949,-28.00394,-27.81167
0.31,-28.87368,-28.77188,-28.567
0.315,-29.62622,-29.51808,-29.3
0.32,-30.35487,-30.23986,-30.00807
0.325,-31.05713,-30.93491,-30.68891
0.33,-31.73034,-31.60071,-31.33986
0.335,-32.37205,-32.2346,-31.95832
0.34,-32.97951,-32.83401,-32.54169
0.345,-33.55011,-33.39629,-33.08731
0.35,-34.08121,-33.91861,-33.5924
0.355,-34.57003,-34.39846,-34.05418
0.36,-35.01377,-34.83281,-34.4701
0.365,-35.40962,-35.21892,-34.83725
0.37,-35.75487,-35.55417,-35.15273
0.375,-36.04681,-35.83568,-35.41395
0.38,-36.28245,-36.06069,-35.61798
0.385,-36.45918,-36.22637,-35.76216
0.39,-36.57446,-36.33015,-35.84387
0.395,-36.62536,-36.36922,-35.86049
0.4,-36.60941,-36.34121,-35.80908
0.405,-36.52399,-36.24333,-35.68737
0.41,-36.36671,-36.07322,-35.49296
0.415,-36.13517,-35.82845,-35.22359
0.42,-35.82713,-35.50698,-34.87666
0.425,-35.44055,-35.10652,-34.45024
0.43,-34.97342,-34.62516,-33.9425
0.435,-34.42382,-34.06109,-33.35158
0.44,-33.79017,-33.41273,-32.67594
0.445,-33.07117,-32.67856,-31.91411
0.45,-32.26535,-31.85737,-31.06488
0.455,-31.372,-30.94819,-30.12713
0.46,-30.38994,-29.9501,-29.10044
0.465,-29.31911,-28.8629,-27.98413
0.47,-28.15903,-27.68614,-26.77807
0.475,-26.90975,-26.42007,-25.4825
0.48,-25.57176,-25.06493,-24.09761
0.485,-24.1458,-23.62168,-22.62423
0.49,-22.63292,-22.09109,-21.0635
0.495,-21.03444,-20.47483,-19.41684
0.5,-19.35207,-18.77474,-17.68619
0.505,-17.58805,-16.99243,-15.87208
0.515,-13.82645,-13.19455,-12.01399
0.525,-9.77475,-9.10591,-7.86455
0.535,-5.4655,-4.75935,-3.45782
0.545,-0.9383,-0.19483,1.16621
0.555,3.76044,4.54076,5.96042
0.565,8.57703,9.39397,10.87072
0.575,13.45119,14.30408,15.83635
0.585,18.31673,19.20454,20.79033
0.595,23.1015,24.023,25.65997
0.605,27.72874,28.68265,30.36811
0.615,32.11829,33.10281,34.83372
0.625,36.18778,37.20102,38.97406
0.635,39.85392,40.89363,42.70527
0.645,43.03521,44.09864,45.9448
0.655,45.65224,46.73664,48.61323
0.665,47.63142,48.73397,50.63619
0.675,48.90678,50.02394,51.94707
0.685,49.42187,50.54988,52.48885
0.695,49.13222,50.26759,52.21671
0.705,48.00829,49.14687,51.10047
0.715,46.03657,47.17409,49.12621
0.725,43.22249,44.35472,46.2989
0.735,39.59136,40.71363,42.64351
0.745,35.19016,36.29766,38.2067
0.755,30.08749,31.17553,33.05689
0.765,24.37493,25.43869,27.28519
0.775,18.16508,19.19971,21.00428
0.785,11.59127,12.59222,14.34749
0.795,4.80555,5.76795,7.4668
0.805,-2.02481,-1.10533,0.52991
0.815,-8.72044,-7.84804,-6.28362
0.825,-15.09474,-14.27329,-12.78654
0.835,-20.95846,-20.19186,-18.7892
0.845,-26.1265,-25.41766,-24.10544
0.855,-30.42319,-29.77479,-28.55869
0.865,-33.6897,-33.10343,-31.98869
0.875,-35.79009,-35.26738,-34.25798
0.885,-36.61837,-36.15976,-35.25879
0.895,-36.10434,-35.70953,-34.91888
0.905,-34.21918,-33.88662,-33.20677
0.915,-30.97886,-30.70658,-30.13635
0.925,-26.4484,-26.2331,-25.76931
0.935,-20.74238,-20.57972,-20.21703
0.945,-14.0243,-13.90909,-13.63983
0.955,-6.5045,-6.43022,-6.24432
0.965,1.56542,1.6056,1.72106
0.975,9.89886,9.913,9.97304
0.985,18.18385,18.18081,18.20245
0.995,26.0943,26.08326,26.08534
1.005,33.30258,33.29315,33.29551
1.015,39.49339,39.49569,39.51828
1.025,44.37917,44.40267,44.46552
1.035,47.71388,47.76845,47.89035
1.045,49.30804,49.40292,49.60128
1.055,49.04097,49.18474,49.475
1.065,46.87121,47.07152,47.46699
1.075,42.84343,43.1073,43.61897
1.085,37.09278,37.42575,38.06224
1.095,29.84346,30.25035,31.0174
1.105,21.40389,21.88781,22.7888
1.115,12.15582,12.71859,13.75442
1.125,2.53959,3.18166,4.35054
1.135,-6.96546,-6.24516,-4.94747
1.145,-15.86417,-15.06847,-13.64853
1.155,-23.67217,-22.80513,-21.2716
1.165,-29.94235,-29.00965,-27.37322
1.175,-34.29336,-33.30201,-31.575
1.185,-36.43469,-35.39311,-33.58944
1.195,-36.18921,-35.10705,-33.24187
1.205,-33.51077,-32.39865,-30.48813
1.215,-28.4945,-27.36396,-25.42522
1.225,-21.37883,-20.24227,-18.2932
1.235,-12.54053,-11.41053,-9.46946
1.245,-2.47755,-1.367,0.54734
1.255,8.2147,9.29289,11.16187
1.265,18.87661,19.90982,21.71478
1.275,28.82414,29.80027,31.52297
1.285,37.39248,38.30061,39.92351
1.295,43.98288,44.81322,46.31983
1.305,48.10683,48.8512,50.22641
1.315,49.42606,50.07817,51.30912
1.325,47.78501,48.3411,49.4173
1.335,43.23168,43.6903,44.60468
1.345,36.02516,36.38773,37.1372
1.355,26.62761,26.89844,27.48486
1.365,15.68048,15.86715,16.2981
1.375,3.96508,4.07806,4.3677
1.385,-7.64983,-7.59703,-7.42761
1.395,-18.27153,-18.26314,-18.1859
1.405,-27.0528,-27.07081,-27.05168
1.415,-33.2621,-33.28701,-33.2872
1.425,-36.34807,-36.3599,-36.33902
1.435,-35.99478,-35.97364,-35.89183
1.445,-32.15958,-32.08642,-31.90735
1.455,-25.08977,-24.94752,-24.64031
1.465,-15.31597,-15.09005,-14.63062
1.475,-3.62003,-3.29879,-2.67039
1.485,9.02184,9.44641,10.25336
1.495,21.51627,22.04882,23.03695
1.505,32.74657,33.3878,34.55373
1.515,41.67305,42.41973,43.75442
1.525,47.43275,48.27845,49.76829
1.535,49.42947,50.36428,51.99117
1.545,47.40218,48.41307,50.15565
1.555,41.46601,42.53727,44.37128
1.565,32.11784,33.23162,35.13021
1.575,20.20503,21.34174,23.27631
1.585,6.85619,7.99515,9.93586
1.595,-6.61959,-5.49968,-3.58324
1.605,-18.85943,-17.77969,-15.91806
1.615,-28.5847,-27.5654,-25.78853
1.625,-34.73925,-33.79902,-32.13566
1.635,-36.61049,-35.76556,-34.24242
1.645,-33.92147,-33.18498,-31.82557
1.655,-26.87904,-26.26005,-25.08381
1.665,-16.17226,-15.67531,-14.69628
1.675,-2.91627,-2.54071,-1.76559
1.685,11.45504,11.71554,12.28902
1.695,25.33845,25.49599,25.88083
1.705,37.13926,37.21149,37.43314
1.715,45.457,45.46682,45.56316
1.725,49.25851,49.23263,49.25315
1.735,48.01618,47.98423,47.98647
1.745,41.79218,41.78431,41.82889
1.755,31.25476,31.30044,31.44481
1.765,17.62069,17.74632,18.03952
1.775,2.52496,2.75296,3.2318
1.785,-12.16763,-11.82067,-11.1328
1.795,-24.59125,-24.11513,-23.20825
1.805,-33.11931,-32.51054,-31.38668
1.815,-36.58472,-35.84659,-34.51791
1.825,-34.452,-33.59383,-32.0808
1.835,-26.91179,-25.94911,-24.27901
1.845,-14.88436,-13.83746,-12.04288
1.855,0.07818,1.18485,3.06711
1.865,15.98039,17.11942,19.04963
1.875,30.64355,31.78564,33.72211
1.885,42.0036,43.1186,45.01911
1.895,48.40784,49.46658,51.28919
1.905,48.86698,49.84249,51.54683
1.915,43.22274,44.09125,45.64012
1.925,32.20122,32.94419,34.30471
1.935,17.33849,17.94326,19.0894
1.945,0.78091,1.24267,2.15746
1.955,-15.01564,-14.69367,-14.01514
1.965,-27.64838,-27.45393,-27.00149
1.975,-35.13833,-35.05018,-34.7958
1.985,-36.25207,-36.24108,-36.1374
1.995,-30.72116,-30.75179,-30.73396
2.005,-19.31842,-19.35124,-19.34249
