ETA,Ec
0.0,7.49838
0.005,7.48754
0.01,7.45535
0.015,7.4016
0.02,7.32622
0.025,7.22987
0.03,7.11154
0.035,6.97164
0.04,6.81029
0.045,6.62737
0.05,6.42322
0.055,6.19735
0.06,5.95017
0.065,5.68124
0.07,5.39116
0.075,5.07977
0.08,4.74668
0.085,4.39257
0.09,4.01707
0.095,3.62065
0.1,3.20318
0.105,2.76464
0.11,2.30543
0.115,1.8254
0.12,1.32471
0.125,0.80361
0.13,0.2625
0.135,-0.29876
0.14,-0.87959
0.145,-1.47979
0.15,-2.09906
0.155,-2.73711
0.16,-3.39355
0.165,-4.06814
0.17,-4.76024
0.175,-5.46918
0.18,-6.19476
0.185,-6.93625
0.19,-7.69307
0.195,-8.4644
0.2,-9.24961
0.205,-10.04778
0.21,-10.85807
0.215,-11.67974
0.22,-12.5118
0.225,-13.35299
0.23,-14.20234
0.235,-15.05871
0.24,-15.92104
0.245,-16.78763
0.25,-17.6572
0.255,-18.52845
0.26,-19.39967
0.265,-20.26954
0.27,-21.13611
0.275,-21.99775
0.28,-22.85245
0.285,-23.69855
0.29,-24.53392
0.295,-25.35643
0.3,-26.16397
0.305,-26.95435
0.31,-27.72538
0.315,-28.47477
0.32,-29.19978
0.325,-29.89837
0.33,-30.56769
0.335,-31.20527
0.34,-31.80848
0.345,-32.37454
0.35,-32.90084
0.355,-33.38458
0.36,-33.82318
0.365,-34.21365
0.37,-34.55319
0.375,-34.83915
0.38,-35.06858
0.385,-35.23893
0.39,-35.34731
0.395,-35.39122
0.4,-35.36802
0.405,-35.27501
0.41,-35.10971
0.415,-34.86996
0.42,-34.55346
0.425,-34.15806
0.43,-33.68177
0.435,-33.12291
0.44,-32.47957
0.445,-31.75053
0.45,-30.93451
0.455,-30.03054
0.46,-29.03773
0.465,-27.9557
0.47,-26.78419
0.475,-25.52332
0.48,-24.17344
0.485,-22.73534
0.49,-21.2099
0.495,-19.59877
0.5,-17.90375
0.505,-16.12884
0.515,-12.34046
0.525,-8.26108
0.535,-3.92409
0.545,0.63113
0.555,5.35758
0.565,10.20171
0.575,15.1031
0.585,19.995
0.595,24.8053
0.605,29.45699
0.615,33.86967
0.625,37.96084
0.635,41.64689
0.645,44.84566
0.655,47.47829
0.665,49.47061
0.675,50.75657
0.685,51.27924
0.695,50.99435
0.705,49.87167
0.715,47.89829
0.725,45.07865
0.735,41.43841
0.745,37.0242
0.755,31.90468
0.765,26.17094
0.775,19.9362
0.785,13.33339
0.795,6.51471
0.805,-0.35238
0.815,-7.08837
0.825,-13.50614
0.835,-19.41629
0.845,-24.63295
0.855,-28.97999
0.865,-32.29788
0.875,-34.44994
0.885,-35.32954
0.895,-34.86551
0.905,-33.02797
0.915,-29.83258
0.925,-25.34335
0.935,-19.67403
0.945,-12.98769
0.955,-5.49373
0.965,2.55632
0.975,10.87638
0.985,19.15511
0.995,27.06614
1.005,34.28224
1.015,40.48788
1.025,45.39538
1.035,48.75872
1.045,50.38793
1.055,50.16184
1.065,48.03843
1.075,44.06187
1.085,38.36611
1.095,31.17479
1.105,22.79526
1.115,13.60804
1.125,4.05263
1.135,-5.39277
1.145,-14.23449
1.155,-21.98869
1.165,-28.20983
1.175,-32.51714
1.185,-34.62125
1.195,-34.34611
1.205,-31.64634
1.215,-26.61766
1.225,-19.49998
1.235,-10.66994
1.245,-0.6261
1.255,10.03584
1.265,20.65677
1.275,30.55297
1.285,39.06084
1.295,45.5829
1.305,49.6323
1.315,50.87292
1.325,49.15165
1.335,44.51865
1.345,37.23552
1.355,27.76643
1.365,16.75554
1.375,4.98621
1.385,-6.67071
1.395,-17.32108
1.405,-26.11605
1.415,-32.32293
1.425,-35.39034
1.435,-35.00272
1.445,-31.11851
1.455,-23.98671
1.465,-14.14042
1.475,-2.36401
1.485,10.36319
1.495,22.945
1.505,34.26196
1.515,43.27151
1.525,49.10851
1.535,51.17441
1.545,49.20588
1.555,43.31549
1.565,33.99852
1.575,22.10032
1.585,8.74831
1.595,-4.74918
1.605,-17.02905
1.615,-26.81173
1.625,-33.03908
1.635,-34.99602
1.645,-32.40228
1.655,-25.46094
1.665,-14.85707
1.675,-1.70153
1.685,12.57667
1.695,26.37874
1.705,38.11455
1.715,46.38808
1.725,50.16912
1.735,48.93195
1.745,42.73865
1.755,32.25589
1.765,18.69674
1.775,3.69224
1.785,-10.89806
1.795,-23.21338
1.805,-31.63214
1.815,-34.99237
1.825,-32.76275
1.835,-25.13878
1.845,-13.0451
1.855,1.96247
1.865,17.88559
1.875,32.54372
1.885,43.87286
1.895,50.22136
1.905,50.60265
1.915,44.86189
1.925,33.72971
1.935,18.74725
1.945,2.06748
1.955,-13.84668
1.965,-26.58455
1.975,-34.15926
1.985,-35.33036
1.995,-29.82455
2.005,-18.41254
2.015,-2.82292
2.025,14.50395
2.035,30.7881
2.045,43.35599
2.055,50.08621
2.065,49.78414
2.075,42.41393
2.085,29.14328
2.095,12.18124
2.105,-5.57178
2.115,-21.01152
2.125,-31.37291
2.135,-34.73817
2.145,-30.4094
2.155,-19.0761
2.165,-2.73295
2.175,15.64961
2.185,32.65102
2.195,45.03366
2.205,50.36741
2.215,47.52313
2.225,36.93341
2.235,20.55767
2.245,1.54362
2.255,-16.36272
2.265,-29.5509
2.275,-35.28212
2.285,-32.27701
2.295,-21.02495
2.305,-3.73724
2.315,16.06273
2.325,34.24438
2.335,46.93035
2.345,51.33754
2.355,46.41186
2.365,33.10883
2.375,14.24326
2.385,-6.08195
2.395,-23.35584
2.405,-33.66566
2.415,-34.60343
2.425,-25.86039
2.435,-9.35772
2.445,11.1408
2.455,30.86246
2.465,45.12985
2.475,50.48128
2.485,45.53886
2.495,31.39935
2.505,11.43303
2.515,-9.48604
2.525,-26.15306
