ETA,Cf1,Cf2,Cf3,Cf4,Cf5
0,7.49838,7.49838,7.49838,7.49838,7.49838
0.005,7.49832,7.48754,7.46604,7.44453,7.42321
0.01,7.49836,7.45535,7.36934,7.28329,7.19754
0.015,7.49863,7.4016,7.20787,7.01437,6.82078
0.02,7.49842,7.32622,6.98204,6.63789,6.29364
0.025,7.49877,7.22987,6.69197,6.15416,5.61635
0.03,7.49875,7.11154,6.33681,5.56222,4.78765
0.035,7.49864,6.97164,5.91728,4.86306,3.80881
0.04,7.49859,6.81029,5.4333,4.05624,2.67934
0.045,7.49856,6.62737,4.88488,3.14199,1.39929
0.05,7.49853,6.42322,4.27189,2.12027,-0.0309
0.055,7.49851,6.19735,3.59454,0.99122,-1.61158
0.06,7.49879,5.95017,2.85262,-0.24501,-3.3426
0.065,7.49874,5.68124,2.04629,-1.58873,-5.22373
0.07,7.49886,5.39116,1.17582,-3.03959,-7.25485
0.075,7.49904,5.07977,0.24138,-4.59711,-9.43563
0.08,7.4988,4.74668,-0.75747,-6.26178,-11.76589
0.085,7.49871,4.39257,-1.8199,-8.03251,-14.24525
0.09,7.4988,4.01707,-2.94614,-9.90964,-16.87336
0.095,7.49882,3.62065,-4.13586,-11.89261,-19.64947
0.1,7.49897,3.20318,-5.38871,-13.98079,-22.57307
0.105,7.49902,2.76464,-6.70447,-16.17395,-25.64348
0.11,7.49925,2.30543,-8.08285,-18.47139,-28.86019
0.115,7.49934,1.8254,-9.52343,-20.87239,-32.22192
0.12,7.4995,1.32471,-11.02548,-23.37644,-35.72774
0.125,7.49969,0.80361,-12.58894,-25.9825,-39.3765
0.13,7.49976,0.2625,-14.21307,-28.68953,-43.16656
0.135,7.50012,-0.29876,-15.89702,-31.49634,-47.09658
0.14,7.50029,-0.87959,-17.64023,-34.40204,-51.16484
0.145,7.50083,-1.47979,-19.44164,-37.40496,-55.36943
0.15,7.50113,-2.09906,-21.30077,-40.50354,-59.70792
0.155,7.5018,-2.73711,-23.21611,-43.69613,-64.17839
0.16,7.50209,-3.39355,-25.18685,-46.98137,-68.77784
0.165,7.50262,-4.06814,-27.21142,-50.35656,-73.50353
0.17,7.50298,-4.76024,-29.28877,-53.81945,-78.35247
0.175,7.50369,-5.46918,-31.41759,-57.36784,-83.32085
0.18,7.50427,-6.19476,-33.59566,-60.99892,-88.40508
0.185,7.50476,-6.93625,-35.82169,-64.70972,-93.60113
0.19,7.50555,-7.69307,-38.09355,-68.49721,-98.90447
0.195,7.50622,-8.4644,-40.40927,-72.35773,-104.31023
0.2,7.5071,-9.24961,-42.76677,-76.28783,-109.81335
0.205,7.50828,-10.04778,-45.16346,-80.28352,-115.40849
0.21,7.50944,-10.85807,-47.59696,-84.34065,-121.08949
0.215,7.51041,-11.67974,-50.06435,-88.45441,-126.84998
0.22,7.51147,-12.5118,-52.56305,-92.62006,-132.68324
0.225,7.51286,-13.35299,-55.08961,-96.83257,-138.58214
0.23,7.51398,-14.20234,-57.64091,-101.08634,-144.53874
0.235,7.51559,-15.05871,-60.21329,-105.37534,-150.54483
0.24,7.51715,-15.92104,-62.80326,-109.69363,-156.59213
0.245,7.5186,-16.78763,-65.40665,-114.03437,-162.67122
0.25,7.52029,-17.6572,-68.01948,-118.39106,-168.77242
0.255,7.52215,-18.52845,-70.6374,-122.75636,-174.88571
0.26,7.52399,-19.39967,-73.25584,-127.12244,-181.00023
0.265,7.52601,-20.26954,-75.86977,-131.48141,-187.10486
0.27,7.52841,-21.13611,-78.47446,-135.82475,-193.18784
0.275,7.53082,-21.99775,-81.0643,-140.14388,-199.23663
0.28,7.53316,-22.85245,-83.63389,-144.42947,-205.23883
0.285,7.53583,-23.69855,-86.17775,-148.67184,-211.18068
0.29,7.5386,-24.53392,-88.68977,-152.86127,-217.04854
0.295,7.54147,-25.35643,-91.16372,-156.98756,-222.82787
0.3,7.54445,-26.16397,-93.59329,-161.03978,-228.50377
0.305,7.54756,-26.95435,-95.97165,-165.00706,-234.06073
0.31,7.55106,-27.72538,-98.29229,-168.8781,-239.48294
0.315,7.55469,-28.47477,-100.54798,-172.64098,-244.7538
0.32,7.55843,-29.19978,-102.7314,-176.28375,-249.85663
0.325,7.56224,-29.89837,-104.83532,-179.79393,-254.77394
0.33,7.56635,-30.56769,-106.85217,-183.159,-259.48837
0.335,7.57078,-31.20527,-108.77395,-186.36617,-263.98141
0.34,7.57521,-31.80848,-110.5932,-189.40199,-268.23471
0.345,7.57999,-32.37454,-112.30141,-192.25325,-272.22986
0.35,7.58492,-32.90084,-113.89082,-194.90645,-275.9476
0.355,7.59003,-33.38458,-115.35301,-197.34787,-279.3689
0.36,7.59546,-33.82318,-116.67995,-199.56352,-282.47421
0.365,7.6011,-34.21365,-117.8629,-201.5397,-285.24432
0.37,7.60696,-34.55319,-118.89384,-203.26231,-287.65948
0.375,7.61296,-34.83915,-119.76403,-204.71759,-289.7002
0.38,7.61927,-35.06858,-120.46565,-205.89174,-291.34723
0.385,7.62589,-35.23893,-120.99006,-206.77058,-292.5813
0.39,7.63278,-35.34731,-121.32943,-207.34114,-293.38324
0.395,7.63989,-35.39122,-121.47545,-207.58977,-293.73453
0.4,7.64721,-35.36802,-121.4205,-207.50331,-293.6167
0.405,7.65495,-35.27501,-121.15681,-207.06917,-293.01215
0.41,7.66287,-35.10971,-120.67722,-206.27489,-291.90344
0.415,7.67099,-34.86996,-119.97443,-205.10899,-290.27429
0.42,7.67939,-34.55346,-119.04177,-203.56017,-288.10901
0.425,7.68816,-34.15806,-117.87285,-201.61749,-285.39252
0.43,7.69735,-33.68177,-116.46175,-199.27145,-282.11111
0.435,7.70654,-33.12291,-114.80331,-196.51289,-278.25214
0.44,7.71599,-32.47957,-112.8922,-193.33362,-273.80414
0.445,7.72581,-31.75053,-110.72434,-189.72655,-268.75711
0.45,7.73596,-30.93451,-108.29601,-185.68526,-263.1022
0.455,7.74636,-30.03054,-105.60413,-181.20488,-256.83255
0.46,7.75702,-29.03773,-102.64653,-176.28157,-249.94266
0.465,7.76795,-27.9557,-99.42168,-170.91284,-242.42943
0.47,7.77912,-26.78419,-95.92879,-165.09763,-234.29092
0.475,7.79049,-25.52332,-92.16824,-158.83643,-225.52803
0.48,7.80221,-24.17344,-88.14104,-152.13092,-216.14317
0.485,7.81404,-22.73534,-83.84949,-144.98503,-206.14165
0.49,7.82618,-21.2099,-79.2967,-137.40379,-195.53076
0.495,7.83841,-19.59877,-74.48715,-129.39458,-184.32071
0.5,7.85091,-17.90375,-69.42602,-120.96608,-172.52408
0.505,7.86134,-16.12884,-64.12101,-112.12939,-160.15376
0.515,7.88765,-12.34046,-52.80653,-93.287,-133.78102
0.525,7.91465,-8.26108,-40.62132,-72.99327,-105.37698
0.535,7.94188,-3.92409,-27.66332,-51.41257,-75.17148
0.545,7.96937,0.63113,-14.05174,-28.74275,-43.44164
0.555,7.99692,5.35758,0.07372,-5.2171,-10.51456
0.565,8.02425,10.20171,14.5521,18.89634,23.23468
0.575,8.05128,15.1031,29.2025,43.29586,57.38399
0.585,8.07779,19.995,43.82512,67.64916,91.46772
0.595,8.10355,24.8053,58.20375,91.59602,124.98185
0.605,8.12845,29.45699,72.10861,114.75266,157.38928
0.615,8.1519,33.86967,85.29852,136.71823,188.12881
0.625,8.17393,37.96084,97.5261,157.08049,216.62379
0.635,8.19434,41.64689,108.54202,175.42406,242.2928
0.645,8.21266,44.84566,118.10026,191.33939,264.56317
0.655,8.22891,47.47829,125.96417,204.43243,282.8833
0.665,8.24253,49.47061,131.91267,214.33511,296.73807
0.675,8.25346,50.75657,135.74719,220.71681,305.66519
0.685,8.26134,51.27924,137.29843,223.29556,309.27036
0.695,8.26633,50.99435,136.43375,221.85031,307.24451
0.705,8.26768,49.87167,133.06323,216.2323,299.37869
0.715,8.26549,47.89829,127.14728,206.37465,285.58029
0.725,8.25977,45.07865,118.7014,192.30367,265.88556
0.735,8.25005,41.43841,107.80145,174.14589,240.47182
0.745,8.23641,37.0242,94.58753,152.13457,209.66528
0.755,8.21889,31.90468,79.26608,126.61351,173.94713
0.765,8.19712,26.17094,62.11033,98.03769,133.95401
0.775,8.17149,19.9362,43.45832,66.97104,90.47456
0.785,8.14201,13.33339,23.71029,34.07942,44.44093
0.795,8.10868,6.51471,3.32152,0.12145,-3.08521
0.805,8.07191,-0.35238,-17.2058,-34.06597,-50.93252
0.815,8.03165,-7.08837,-37.33371,-67.58646,-97.84619
0.825,7.98851,-13.50614,-56.50171,-99.50597,-142.51859
0.835,7.94268,-19.41629,-74.1421,-128.87862,-183.62561
0.845,7.89465,-24.63295,-89.69798,-154.77638,-219.86798
0.855,7.84503,-28.97999,-102.64218,-176.3205,-250.01489
0.865,7.79443,-32.29788,-112.49637,-192.714,-272.95044
0.875,7.74342,-34.44994,-118.8525,-203.27643,-287.72165
0.885,7.69268,-35.32954,-121.39112,-207.47572,-293.58368
0.895,7.64304,-34.86551,-119.90028,-204.95934,-290.04239
0.905,7.59525,-33.02797,-114.29205,-195.58046,-276.89285
0.915,7.55019,-29.83258,-104.61499,-179.42055,-254.24924
0.925,7.50858,-25.34335,-91.06272,-156.8033,-222.56509
0.935,7.47128,-19.67403,-73.97827,-128.30128,-182.64304
0.945,7.43893,-12.98769,-53.85256,-94.73339,-135.63031
0.955,7.41225,-5.49373,-31.31581,-57.15122,-83.00019
0.965,7.39196,2.55632,-7.12347,-16.81481,-26.51764
0.975,7.37844,10.87638,17.86473,24.84268,31.81017
0.985,7.37208,19.15511,42.71364,66.26157,89.79922
0.995,7.37293,27.06614,66.44413,105.81059,145.16531
1.005,7.38119,34.28224,88.07418,141.85248,195.61702
1.015,7.39666,40.48788,106.65807,172.81184,238.94885
1.025,7.41923,45.39538,121.33318,197.25146,273.15005
1.035,7.4483,48.75872,131.36269,213.9442,296.50345
1.045,7.48395,50.38793,136.17812,221.94377,307.68512
1.055,7.52507,50.16184,135.41718,220.64702,305.85175
1.065,7.57122,48.03843,128.95471,209.84633,290.71289
1.075,7.6218,44.06187,116.92483,189.76492,262.58191
1.085,7.67606,38.36611,99.73125,161.07622,222.40094
1.095,7.73325,31.17479,78.04556,124.89926,171.73633
1.105,7.79231,22.79526,52.79078,82.77272,112.74087
1.115,7.85262,13.60804,25.11064,36.6022,48.08265
1.125,7.91314,4.05263,-3.6752,-11.41269,-19.15975
1.135,7.97263,-5.39277,-32.13054,-58.87778,-85.63436
1.145,8.03014,-14.23449,-58.77146,-103.31889,-147.87694
1.155,8.08438,-21.98869,-82.14445,-142.31294,-202.49413
1.165,8.1343,-28.20983,-100.90961,-173.62485,-246.35555
1.175,8.17863,-32.51714,-113.92239,-195.34573,-276.78729
1.185,8.21646,-34.62125,-120.31161,-206.022,-291.75262
1.195,8.24643,-34.34611,-119.54677,-204.7682,-290.01053
1.205,8.26769,-31.64634,-111.48949,-191.35284,-271.23645
1.215,8.27944,-26.61766,-96.42592,-166.25237,-236.097
1.225,8.28106,-19.49998,-75.07365,-130.66289,-186.26761
1.235,8.27204,-10.66994,-48.56319,-86.46891,-124.38714
1.245,8.25224,-0.6261,-18.39025,-36.16427,-53.94796
1.255,8.22152,10.03584,13.65829,17.27221,20.87797
1.265,8.18048,20.65677,45.6032,70.54117,95.47101
1.275,8.12959,30.55297,75.39246,120.22203,165.04193
1.285,8.06968,39.06084,101.03378,162.99396,224.94176
1.295,8.00208,45.5829,120.73254,195.86621,270.98404
1.305,7.92847,49.6323,133.02588,216.40036,299.75595
1.315,7.85041,50.87292,136.90237,222.91077,308.89783
1.325,7.77015,49.15165,131.89847,214.62354,297.32687
1.335,7.69003,44.51865,118.16068,191.78175,265.38232
1.345,7.61248,37.23552,96.46778,155.68176,214.87747
1.355,7.54011,27.76643,68.20777,108.63367,149.04443
1.365,7.47554,16.75554,35.30621,53.8442,72.36973
1.375,7.42106,4.98621,0.1083,-4.78081,-9.681
1.385,7.37888,-6.67071,-34.77847,-62.89778,-91.02831
1.395,7.35094,-17.32108,-66.67477,-116.04214,-165.42287
