ETA,Cf1,Cf2,Cf3,Cf4
0,7.49838,7.49838,7.49838,7.49838
0.005,7.49832,7.48754,7.46604,7.44453
0.01,7.49836,7.45535,7.36934,7.28329
0.015,7.49863,7.4016,7.20787,7.01437
0.02,7.49842,7.32622,6.98204,6.63789
0.025,7.49877,7.22987,6.69197,6.15416
0.03,7.49875,7.11154,6.33681,5.56222
0.035,7.49864,6.97164,5.91728,4.86306
0.04,7.49859,6.81029,5.4333,4.05624
0.045,7.49856,6.62737,4.88488,3.14199
0.05,7.49853,6.42322,4.27189,2.12027
0.055,7.49851,6.19735,3.59454,0.99122
0.06,7.49879,5.95017,2.85262,-0.24501
0.065,7.49874,5.68124,2.04629,-1.58873
0.07,7.49886,5.39116,1.17582,-3.03959
0.075,7.49904,5.07977,0.24138,-4.59711
0.08,7.4988,4.74668,-0.75747,-6.26178
0.085,7.49871,4.39257,-1.8199,-8.03251
0.09,7.4988,4.01707,-2.94614,-9.90964
0.095,7.49882,3.62065,-4.13586,-11.89261
0.1,7.49897,3.20318,-5.38871,-13.98079
0.105,7.49902,2.76464,-6.70447,-16.17395
0.11,7.49925,2.30543,-8.08285,-18.47139
0.115,7.49934,1.8254,-9.52343,-20.87239
0.12,7.4995,1.32471,-11.02548,-23.37644
0.125,7.49969,0.80361,-12.58894,-25.9825
0.13,7.49976,0.2625,-14.21307,-28.68953
0.135,7.50012,-0.29876,-15.89702,-31.49634
0.14,7.50029,-0.87959,-17.64023,-34.40204
0.145,7.50083,-1.47979,-19.44164,-37.40496
0.15,7.50113,-2.09906,-21.30077,-40.50354
0.155,7.5018,-2.73711,-23.21611,-43.69613
0.16,7.50209,-3.39355,-25.18685,-46.98137
0.165,7.50262,-4.06814,-27.21142,-50.35656
0.17,7.50298,-4.76024,-29.28877,-53.81945
0.175,7.50369,-5.46918,-31.41759,-57.36784
0.18,7.50427,-6.19476,-33.59566,-60.99892
0.185,7.50476,-6.93625,-35.82169,-64.70972
0.19,7.50555,-7.69307,-38.09355,-68.49721
0.195,7.50622,-8.4644,-40.40927,-72.35773
0.2,7.5071,-9.24961,-42.76677,-76.28783
0.205,7.50828,-10.04778,-45.16346,-80.28352
0.21,7.50944,-10.85807,-47.59696,-84.34065
0.215,7.51041,-11.67974,-50.06435,-88.45441
0.22,7.51147,-12.5118,-52.56305,-92.62006
0.225,7.51286,-13.35299,-55.08961,-96.83257
0.23,7.51398,-14.20234,-57.64091,-101.08634
0.235,7.51559,-15.05871,-60.21329,-105.37534
0.24,7.51715,-15.92104,-62.80326,-109.69363
0.245,7.5186,-16.78763,-65.40665,-114.03437
0.25,7.52029,-17.6572,-68.01948,-118.39106
0.255,7.52215,-18.52845,-70.6374,-122.75636
0.26,7.52399,-19.39967,-73.25584,-127.12244
0.265,7.52601,-20.26954,-75.86977,-131.48141
0.27,7.52841,-21.13611,-78.47446,-135.82475
0.275,7.53082,-21.99775,-81.0643,-140.14388
0.28,7.53316,-22.85245,-83.63389,-144.42947
0.285,7.53583,-23.69855,-86.17775,-148.67184
0.29,7.5386,-24.53392,-88.68977,-152.86127
0.295,7.54147,-25.35643,-91.16372,-156.98756
0.3,7.54445,-26.16397,-93.59329,-161.03978
0.305,7.54756,-26.95435,-95.97165,-165.00706
0.31,7.55106,-27.72538,-98.29229,-168.8781
0.315,7.55469,-28.47477,-100.54798,-172.64098
0.32,7.55843,-29.19978,-102.7314,-176.28375
0.325,7.56224,-29.89837,-104.83532,-179.79393
0.33,7.56635,-30.56769,-106.85217,-183.159
0.335,7.57078,-31.20527,-108.77395,-186.36617
0.34,7.57521,-31.80848,-110.5932,-189.40199
0.345,7.57999,-32.37454,-112.30141,-192.25325
0.35,7.58492,-32.90084,-113.89082,-194.90645
0.355,7.59003,-33.38458,-115.35301,-197.34787
0.36,7.59546,-33.82318,-116.67995,-199.56352
0.365,7.6011,-34.21365,-117.8629,-201.5397
0.37,7.60696,-34.55319,-118.89384,-203.26231
0.375,7.61296,-34.83915,-119.76403,-204.71759
0.38,7.61927,-35.06858,-120.46565,-205.89174
0.385,7.62589,-35.23893,-120.99006,-206.77058
0.39,7.63278,-35.34731,-121.32943,-207.34114
0.395,7.63989,-35.39122,-121.47545,-207.58977
0.4,7.64721,-35.36802,-121.4205,-207.50331
0.405,7.65495,-35.27501,-121.15681,-207.06917
0.41,7.66287,-35.10971,-120.67722,-206.27489
0.415,7.67099,-34.86996,-119.97443,-205.10899
0.42,7.67939,-34.55346,-119.04177,-203.56017
0.425,7.68816,-34.15806,-117.87285,-201.61749
0.43,7.69735,-33.68177,-116.46175,-199.27145
0.435,7.70654,-33.12291,-114.80331,-196.51289
0.44,7.71599,-32.47957,-112.8922,-193.33362
0.445,7.72581,-31.75053,-110.72434,-189.72655
0.45,7.73596,-30.93451,-108.29601,-185.68526
0.455,7.74636,-30.03054,-105.60413,-181.20488
0.46,7.75702,-29.03773,-102.64653,-176.28157
0.465,7.76795,-27.9557,-99.42168,-170.91284
0.47,7.77912,-26.78419,-95.92879,-165.09763
