ETA,Cf1,Cf2,Cf3,Cf4
0,7.49838,7.49838,7.49838,7.49838
0.005,7.49832,7.47679,7.4339,7.39086
0.01,7.49836,7.41235,7.24042,7.06815
0.015,7.49863,7.30486,6.91766,6.53026
0.02,7.49842,7.15407,6.46572,5.77737
0.025,7.49877,6.96078,5.88534,4.80959
0.03,7.49875,6.7242,5.17515,3.62635
0.035,7.49864,6.44436,4.3364,2.22799
0.04,7.49859,6.12167,3.36835,0.61477
0.045,7.49856,5.75631,2.27173,-1.21285
0.05,7.49853,5.34818,1.04665,-3.25457
0.055,7.49851,4.89692,-0.3066,-5.51019
0.06,7.49879,4.40322,-1.78782,-7.97899
0.065,7.49874,3.86681,-3.39658,-10.66025
0.07,7.49886,3.28836,-5.1321,-13.55273
0.075,7.49904,2.66817,-6.99339,-16.65527
0.08,7.4988,2.00594,-8.9801,-19.96626
0.085,7.49871,1.30262,-11.09032,-23.4835
0.09,7.4988,0.55852,-13.32294,-27.20501
0.095,7.49882,-0.22584,-15.67604,-31.12731
0.1,7.49897,-1.04976,-18.14797,-35.24759
0.105,7.49902,-1.91234,-20.73626,-39.56144
0.11,7.49925,-2.8128,-23.4378,-44.06459
0.115,7.49934,-3.74975,-26.24993,-48.75152
0.12,7.4995,-4.72251,-29.16861,-53.61667
0.125,7.49969,-5.7294,-32.18999,-58.65277
0.13,7.49976,-6.76884,-35.30942,-63.85241
0.135,7.50012,-7.83929,-38.5215,-69.20692
0.14,7.50029,-8.93878,-41.82069,-74.70641
0.145,7.50083,-10.06495,-45.20061,-80.34019
0.15,7.50113,-11.21596,-48.65384,-86.09669
0.155,7.5018,-12.38847,-52.17263,-91.96282
0.16,7.50209,-13.57976,-55.74849,-97.92403
0.165,7.50262,-14.78731,-59.3724,-103.96496
0.17,7.50298,-16.0072,-63.03366,-110.0685
0.175,7.50369,-17.23578,-66.72142,-116.21648
0.18,7.50427,-18.46925,-70.42387,-122.3889
0.185,7.50476,-19.70341,-74.12836,-128.56451
0.19,7.50555,-20.93341,-77.82096,-134.72058
0.195,7.50622,-22.15465,-81.4872,-140.83273
0.2,7.5071,-23.36166,-85.11151,-146.87511
0.205,7.50828,-24.5495,-88.67722,-152.82051
0.21,7.50944,-25.7119,-92.16746,-158.63956
0.215,7.51041,-26.84299,-95.56388,-164.3026
0.22,7.51147,-27.93641,-98.84727,-169.77751
0.225,7.51286,-28.98559,-101.99786,-175.03094
0.23,7.51398,-29.98352,-104.99496,-180.02864
0.235,7.51559,-30.92307,-107.81718,-184.73492
0.24,7.51715,-31.79672,-110.44283,-189.11325
0.245,7.5186,-32.59745,-112.84892,-193.12602
0.25,7.52029,-33.31721,-115.01261,-196.73451
0.255,7.52215,-33.9483,-116.91045,-199.90033
0.26,7.52399,-34.48304,-118.5191,-202.58383
0.265,7.52601,-34.91337,-119.81474,-204.74568
0.27,7.52841,-35.23152,-120.7739,-206.34683
0.275,7.53082,-35.4296,-121.37358,-207.34828
0.28,7.53316,-35.50012,-121.59052,-207.71213
0.285,7.53583,-35.43567,-121.40266,-207.40143
0.29,7.5386,-35.22931,-120.78899,-206.3806
0.295,7.54147,-34.87416,-119.72919,-204.6162
0.3,7.54445,-34.36381,-118.20446,-202.07675
0.305,7.54756,-33.69286,-116.1976,-198.73373
0.31,7.55106,-32.85599,-113.69341,-194.56174
0.315,7.55469,-31.84888,-110.67866,-189.53857
0.32,7.55843,-30.66799,-107.14282,-183.64684
0.325,7.56224,-29.31059,-103.07789,-176.87337
0.33,7.56635,-27.77529,-98.47898,-169.20982
0.335,7.57078,-26.06122,-93.34468,-160.65361
0.34,7.57521,-24.16929,-87.67668,-151.2083
0.345,7.57999,-22.10144,-81.48146,-140.88402
0.35,7.58492,-19.86104,-74.76884,-129.69765
0.355,7.59003,-17.45292,-67.55356,-117.67353
0.36,7.59546,-14.88361,-59.85472,-104.84367
0.365,7.6011,-12.1609,-51.69659,-91.24831
0.37,7.60696,-9.29454,-43.10802,-76.93599
0.375,7.61296,-6.29604,-34.1235,-61.96396
0.38,7.61927,-3.17841,-24.78242,-46.39783
0.385,7.62589,0.04321,-15.12973,-30.31273
0.39,7.63278,3.35243,-5.21537,-13.79217
0.395,7.63989,6.73045,4.90511,3.07149
0.4,7.64721,10.15718,15.17114,20.17737
0.405,7.65495,13.61101,25.51744,37.41658
0.41,7.66287,17.06837,35.87395,54.67227
0.415,7.67099,20.50478,46.16637,71.82057
0.42,7.67939,23.89387,56.31647,88.73107
0.425,7.68816,27.20865,66.24254,105.26783
0.43,7.69735,30.42073,75.86034,121.29035
0.435,7.70654,33.50169,85.08356,136.6545
0.44,7.71599,36.42197,93.82434,151.21452
0.445,7.72581,39.15234,101.99441,164.82306
0.45,7.73596,41.66339,109.5062,177.33386
0.455,7.74636,43.92638,116.27327,188.60333
0.46,7.75702,45.91349,122.21204,198.49205
0.465,7.76795,47.59786,127.24207,206.86646
0.47,7.77912,48.95448,131.28856,213.60127
0.475,7.79049,49.96024,134.28209,218.58112
0.48,7.80221,50.59435,136.16042,221.70268
0.485,7.81404,50.8392,136.87039,222.87712
0.49,7.82618,50.67996,136.36844,222.032
0.495,7.83841,50.1059,134.6217,219.11238
0.5,7.85091,49.11036,131.60971,214.08432
0.505,7.86134,47.68788,127.32213,206.93211
0.515,7.88765,43.58999,114.97731,186.34273
0.525,7.91465,37.88878,97.82232,157.73706
0.535,7.94188,30.74987,76.354,121.94304
0.545,7.96937,22.42791,51.33569,80.23208
0.555,7.99692,13.26303,23.78826,34.30475
0.565,8.02425,3.67272,-5.0364,-13.75276
0.575,8.05128,-5.86376,-33.69978,-61.54337
0.585,8.07779,-14.82657,-60.64277,-106.46809
0.595,8.10355,-22.6836,-84.26763,-145.86365
0.605,8.12845,-28.92291,-103.03759,-177.16782
0.615,8.1519,-33.08898,-115.5853,-198.10075
0.625,8.17393,-34.82099,-120.82688,-206.85405
0.635,8.19434,-33.88812,-118.06947,-202.27267
0.645,8.21266,-30.22193,-107.10647,-184.01146
0.655,8.22891,-23.93869,-88.28691,-152.65271
0.665,8.24253,-15.35189,-62.55109,-109.76422
0.675,8.25346,-4.96942,-31.42311,-57.88675
0.685,8.26134,6.52581,3.04843,-0.43633
0.695,8.26633,18.31245,38.39965,58.47984
0.705,8.26768,29.48515,71.91349,114.33306
0.715,8.26549,39.12162,100.82431,162.51517
0.725,8.25977,46.36217,122.555,198.7321
0.735,8.25005,50.49334,134.96541,219.41847
0.745,8.23641,51.02668,136.59137,222.13536
0.755,8.21889,47.76679,126.84745,205.9081
0.765,8.19712,40.85859,106.16801,171.46007
0.775,8.17149,30.80484,76.06099,121.30376
0.785,8.14201,18.44981,39.05785,59.65607
0.795,8.10868,4.92375,-1.45232,-7.83622
0.805,8.07191,-8.44985,-41.49984,-74.55828
0.815,8.03165,-20.27971,-76.91103,-133.55411
0.825,7.98851,-29.25322,-103.74866,-178.2599
0.835,7.94268,-34.29205,-118.77658,-203.28067
0.845,7.89465,-34.69617,-119.89458,-205.1144
0.855,7.84503,-30.25906,-106.48331,-182.72792
0.865,7.79443,-21.33409,-79.60442,-137.89171
0.875,7.74342,-8.83778,-42.01062,-75.19584
0.885,7.69268,5.8181,2.06113,-1.70577
0.895,7.64304,20.86844,47.3115,73.74486
0.905,7.59525,34.39653,87.98901,141.56897
0.915,7.55019,44.57862,118.62208,192.64825
0.925,7.50858,49.94076,134.78867,219.61485
0.935,7.47128,49.59069,133.81157,218.00925
0.945,7.43893,43.38966,115.27445,187.13768
0.955,7.41225,32.03043,81.25323,130.45837
0.965,7.39196,16.99737,36.19771,55.38468
0.975,7.37844,0.40162,-13.56102,-27.53542
0.985,7.37208,-15.29696,-60.64531,-106.00732
0.995,7.37293,-27.64997,-97.70946,-167.78717
1.005,7.38119,-34.61324,-118.61939,-202.64798
1.015,7.39666,-34.90825,-119.53658,-204.18921
1.025,7.41923,-28.28905,-99.72251,-171.17813
1.035,7.4483,-15.65629,-61.87896,-108.11919
1.045,7.48395,1.01923,-11.92035,-24.87309
1.055,7.52507,18.96841,41.84584,64.71124
1.065,7.57122,35.06546,90.04247,145.00485
1.075,7.6218,46.3722,123.85799,201.32463
1.085,7.67606,50.69501,136.7155,222.71356
1.095,7.73325,47.0469,125.6572,204.24571
1.105,7.79231,35.91496,92.14649,148.36018
1.115,7.85262,19.26087,42.0671,64.86048
1.125,7.91314,0.22467,-15.16076,-30.55672
1.135,7.97263,-17.43499,-68.25997,-119.09748
1.145,8.03014,-30.07442,-106.2964,-182.53534
1.155,8.08438,-34.9347,-120.98821,-207.06197
1.165,8.1343,-30.78284,-108.63208,-186.5007
1.175,8.17863,-18.27161,-71.18387,-124.11138
1.185,8.21646,0.08968,-16.17204,-32.44422
1.195,8.24643,20.38489,44.65452,68.91496
1.205,8.26769,38.09617,97.74342,157.37831
1.215,8.27944,49.11038,130.75928,212.39085
1.225,8.28106,50.70648,135.54271,220.35974
1.235,8.27204,42.28245,110.29044,178.28152
