ETA,Cf
0.0,7.49838
0.005,7.44453
0.01,7.28329
0.015,7.01437
0.02,6.63789
0.025,6.15416
0.03,5.56222
0.035,4.86306
0.04,4.05624
0.045,3.14199
0.05,2.12027
0.055,0.99122
0.06,-0.24501
0.065,-1.58873
0.07,-3.03959
0.075,-4.59711
0.08,-6.26178
0.085,-8.03251
0.09,-9.90964
0.095,-11.89261
0.1,-13.98079
0.105,-16.17395
0.11,-18.47139
0.115,-20.87239
0.12,-23.37644
0.125,-25.9825
0.13,-28.68953
0.135,-31.49634
0.14,-34.40204
0.145,-37.40496
0.15,-40.50354
0.155,-43.69613
0.16,-46.98137
0.165,-50.35656
0.17,-53.81945
0.175,-57.36784
0.18,-60.99892
0.185,-64.70972
0.19,-68.49721
0.195,-72.35773
0.2,-76.28783
0.205,-80.28352
0.21,-84.34065
0.215,-88.45441
0.22,-92.62006
0.225,-96.83257
0.23,-101.08634
0.235,-105.37534
0.24,-109.69363
0.245,-114.03437
0.25,-118.39106
0.255,-122.75636
0.26,-127.12244
0.265,-131.48141
0.27,-135.82475
0.275,-140.14388
0.28,-144.42947
0.285,-148.67184
0.29,-152.86127
0.295,-156.98756
0.3,-161.03978
0.305,-165.00706
0.31,-168.8781
0.315,-172.64098
0.32,-176.28375
0.325,-179.79393
0.33,-183.159
0.335,-186.36617
0.34,-189.40199
0.345,-192.25325
0.35,-194.90645
0.355,-197.34787
0.36,-199.56352
0.365,-201.5397
0.37,-203.26231
0.375,-204.71759
0.38,-205.89174
0.385,-206.77058
0.39,-207.34114
0.395,-207.58977
0.4,-207.50331
0.405,-207.06917
0.41,-206.27489
0.415,-205.10899
0.42,-203.56017
0.425,-201.61749
0.43,-199.27145
0.435,-196.51289
0.44,-193.33362
0.445,-189.72655
0.45,-185.68526
0.455,-181.20488
0.46,-176.28157
0.465,-170.91284
0.47,-165.09763
0.475,-158.83643
0.48,-152.13092
0.485,-144.98503
0.49,-137.40379
0.495,-129.39458
0.5,-120.96608
0.505,-112.12939
0.515,-93.287
0.525,-72.99327
0.535,-51.41257
0.545,-28.74275
0.555,-5.2171
0.565,18.89634
0.575,43.29586
0.585,67.64916
0.595,91.59602
0.605,114.75266
0.615,136.71823
0.625,157.08049
0.635,175.42406
0.645,191.33939
0.655,204.43243
0.665,214.33511
0.675,220.71681
0.685,223.29556
0.695,221.85031
0.705,216.2323
0.715,206.37465
0.725,192.30367
0.735,174.14589
0.745,152.13457
0.755,126.61351
0.765,98.03769
0.775,66.97104
0.785,34.07942
0.795,0.12145
0.805,-34.06597
0.815,-67.58646
0.825,-99.50597
0.835,-128.87862
0.845,-154.77638
0.855,-176.3205
0.865,-192.714
0.875,-203.27643
0.885,-207.47572
0.895,-204.95934
0.905,-195.58046
0.915,-179.42055
0.925,-156.8033
0.935,-128.30128
0.945,-94.73339
0.955,-57.15122
0.965,-16.81481
0.975,24.84268
0.985,66.26157
0.995,105.81059
1.005,141.85248
1.015,172.81184
1.025,197.25146
1.035,213.9442
1.045,221.94377
1.055,220.64702
1.065,209.84633
1.075,189.76492
1.085,161.07622
1.095,124.89926
1.105,82.77272
1.115,36.6022
1.125,-11.41269
1.135,-58.87778
1.145,-103.31889
1.155,-142.31294
1.165,-173.62485
1.175,-195.34573
1.185,-206.022
1.195,-204.7682
1.205,-191.35284
1.215,-166.25237
1.225,-130.66289
1.235,-86.46891
1.245,-36.16427
1.255,17.27221
1.265,70.54117
1.275,120.22203
1.285,162.99396
1.295,195.86621
1.305,216.40036
1.315,222.91077
1.325,214.62354
1.335,191.78175
1.345,155.68176
1.355,108.63367
1.365,53.8442
1.375,-4.78081
1.385,-62.89778
1.395,-116.04214
1.405,-159.97412
1.415,-191.03087
1.425,-206.45255
1.435,-204.65674
1.445,-185.42912
1.455,-150.00926
1.465,-101.05586
1.475,-42.48434
1.485,20.81698
1.495,83.37724
1.505,139.60948
1.515,184.31461
1.525,213.18053
1.535,223.22743
1.545,213.15067
1.555,183.52321
1.565,136.82564
1.575,77.28816
1.585,10.54906
1.595,-56.85046
1.605,-118.09602
1.615,-166.79152
1.625,-197.64897
1.635,-207.09946
1.645,-193.75082
1.655,-158.63365
1.665,-105.19246
1.675,-39.00303
1.685,32.76445
1.695,102.09634
1.705,161.0246
1.715,202.55594
1.725,221.53307
1.735,215.32442
1.745,184.24232
1.755,131.62361
1.765,63.54157
1.775,-11.83808
1.785,-85.19984
1.795,-147.21918
1.805,-189.76268
1.815,-206.9937
1.825,-196.23381
1.835,-158.44144
1.845,-98.22546
1.855,-23.35679
1.865,56.17884
1.875,129.48442
1.885,186.24179
1.895,218.19586
1.905,220.40924
1.915,192.09639
1.925,136.89008
1.935,62.46883
1.945,-20.4352
1.955,-99.54002
1.965,-162.82198
1.975,-200.37141
1.985,-206.00633
1.995,-178.37526
2.005,-121.34238
2.015,-43.55527
2.025,42.78994
2.035,123.8129
2.045,186.17476
2.055,219.3073
2.065,217.27666
2.075,179.93932
2.085,113.16003
2.095,28.0062
2.105,-61.00324
2.115,-138.33104
2.125,-190.1398
2.135,-206.83121
2.145,-184.9174
2.155,-127.86102
2.165,-45.66279
2.175,46.78775
2.185,132.34865
2.195,194.7926
2.205,221.93286
2.215,208.0867
2.225,155.38268
2.235,73.58916
2.245,-21.5726
2.255,-111.36965
2.265,-177.72256
2.275,-206.89525
2.285,-192.44031
2.295,-136.75606
2.305,-50.85879
2.315,47.67041
2.325,138.2113
2.335,201.40938
2.345,223.3743
2.355,198.84763
2.365,132.60205
2.375,38.68685
2.385,-62.4198
2.395,-148.20355
2.405,-199.14545
2.415,-203.25244
2.425,-159.03543
2.435,-76.1561
2.445,26.51568
2.455,125.08861
2.465,196.18045
2.475,222.5166
2.485,197.25742
2.495,125.94272
2.505,25.47855
2.515,-79.71103
2.525,-163.54686
2.535,-204.78595
2.545,-192.52379
