ETA,Cf
0.0,7.49838
0.005,7.4339
0.01,7.24042
0.015,6.91766
0.02,6.46572
0.025,5.88534
0.03,5.17515
0.035,4.3364
0.04,3.36835
0.045,2.27173
0.05,1.04665
0.055,-0.3066
0.06,-1.78782
0.065,-3.39658
0.07,-5.1321
0.075,-6.99339
0.08,-8.9801
0.085,-11.09032
0.09,-13.32294
0.095,-15.67604
0.1,-18.14797
0.105,-20.73626
0.11,-23.4378
0.115,-26.24993
0.12,-29.16861
0.125,-32.18999
0.13,-35.30942
0.135,-38.5215
0.14,-41.82069
0.145,-45.20061
0.15,-48.65384
0.155,-52.17263
0.16,-55.74849
0.165,-59.3724
0.17,-63.03366
0.175,-66.72142
0.18,-70.42387
0.185,-74.12836
0.19,-77.82096
0.195,-81.4872
0.2,-85.11151
0.205,-88.67722
0.21,-92.16746
0.215,-95.56388
0.22,-98.84727
0.225,-101.99786
0.23,-104.99496
0.235,-107.81718
0.24,-110.44283
0.245,-112.84892
0.25,-115.01261
0.255,-116.91045
0.26,-118.5191
0.265,-119.81474
0.27,-120.7739
0.275,-121.37358
0.28,-121.59052
0.285,-121.40266
0.29,-120.78899
0.295,-119.72919
0.3,-118.20446
0.305,-116.1976
0.31,-113.69341
0.315,-110.67866
0.32,-107.14282
0.325,-103.07789
0.33,-98.47898
0.335,-93.34468
0.34,-87.67668
0.345,-81.48146
0.35,-74.76884
0.355,-67.55356
0.36,-59.85472
0.365,-51.69659
0.37,-43.10802
0.375,-34.1235
0.38,-24.78242
0.385,-15.12973
0.39,-5.21537
0.395,4.90511
0.4,15.17114
0.405,25.51744
0.41,35.87395
0.415,46.16637
0.42,56.31647
0.425,66.24254
0.43,75.86034
0.435,85.08356
0.44,93.82434
0.445,101.99441
0.45,109.5062
0.455,116.27327
0.46,122.21204
0.465,127.24207
0.47,131.28856
0.475,134.28209
0.48,136.16042
0.485,136.87039
0.49,136.36844
0.495,134.6217
0.5,131.60971
0.505,127.32213
0.515,114.97731
0.525,97.82232
0.535,76.354
0.545,51.33569
0.555,23.78826
0.565,-5.0364
0.575,-33.69978
0.585,-60.64277
0.595,-84.26763
0.605,-103.03759
0.615,-115.5853
0.625,-120.82688
0.635,-118.06947
0.645,-107.10647
0.655,-88.28691
0.665,-62.55109
0.675,-31.42311
0.685,3.04843
0.695,38.39965
0.705,71.91349
0.715,100.82431
0.725,122.555
0.735,134.96541
0.745,136.59137
0.755,126.84745
0.765,106.16801
0.775,76.06099
0.785,39.05785
0.795,-1.45232
0.805,-41.49984
0.815,-76.91103
0.825,-103.74866
0.835,-118.77658
0.845,-119.89458
0.855,-106.48331
0.865,-79.60442
0.875,-42.01062
0.885,2.06113
0.895,47.3115
0.905,87.98901
0.915,118.62208
0.925,134.78867
0.935,133.81157
0.945,115.27445
0.955,81.25323
0.965,36.19771
0.975,-13.56102
0.985,-60.64531
0.995,-97.70946
1.005,-118.61939
1.015,-119.53658
1.025,-99.72251
1.035,-61.87896
1.045,-11.92035
1.055,41.84584
1.065,90.04247
1.075,123.85799
1.085,136.7155
1.095,125.6572
1.105,92.14649
1.115,42.0671
1.125,-15.16076
1.135,-68.25997
1.145,-106.2964
1.155,-120.98821
1.165,-108.63208
1.175,-71.18387
1.185,-16.17204
1.195,44.65452
1.205,97.74342
1.215,130.75928
1.225,135.54271
1.235,110.29044
1.245,60.35312
1.255,-2.67203
1.265,-63.47816
1.275,-106.7172
1.285,-120.94406
1.295,-101.82115
1.305,-53.65482
1.315,11.29759
1.325,75.75341
1.335,121.92625
1.345,136.49634
1.355,114.63417
1.365,61.83297
1.375,-7.1715
1.385,-72.30652
1.395,-113.94354
1.405,-118.9218
1.415,-84.95436
1.425,-21.88466
1.435,50.86195
1.445,110.0871
1.455,136.23343
1.465,120.03252
1.475,66.10113
1.485,-7.97627
1.495,-77.10202
1.505,-117.08044
1.515,-113.22333
1.525,-66.05579
1.535,8.18375
1.545,82.81053
1.555,130.16023
1.565,131.96602
1.575,86.72798
1.585,11.02117
1.595,-66.19091
1.605,-114.47417
1.615,-114.04494
1.625,-64.24545
1.635,15.37929
1.645,92.35259
1.655,134.36374
1.665,122.98904
1.675,62.16439
1.685,-22.6136
1.695,-94.60447
1.705,-121.69373
1.715,-91.01405
1.725,-15.5636
1.735,70.75697
1.745,128.08704
1.755,129.1002
1.765,72.44872
1.775,-15.59797
1.785,-92.83778
1.795,-121.22727
1.805,-85.90716
1.815,-3.52521
1.825,85.02759
1.835,134.65355
1.845,119.19738
1.855,45.782
1.865,-47.74774
1.875,-111.88326
1.885,-111.69391
1.895,-46.36279
1.905,49.16016
1.915,122.31345
1.925,131.78394
1.935,71.26183
1.945,-25.74753
1.955,-103.88577
1.965,-117.45063
1.975,-57.62819
1.985,41.0274
1.995,119.89093
2.005,130.98096
2.015,66.62267
2.025,-34.50158
2.035,-109.91884
2.045,-111.86008
2.055,-38.06411
2.065,65.31093
2.075,131.98062
2.085,118.1218
2.095,31.88061
2.105,-70.41003
2.115,-120.44957
2.125,-83.7633
2.135,15.73112
2.145,110.39644
2.155,134.50304
2.165,70.27239
2.175,-38.13998
2.185,-114.21271
2.195,-103.03791
2.205,-11.74965
2.215,93.86971
2.225,136.17462
2.235,82.98491
2.245,-27.01208
2.255,-111.42934
2.265,-105.66185
2.275,-13.03435
2.285,95.84653
2.295,136.33331
2.305,75.92879
2.315,-38.51657
2.325,-116.06011
2.335,-93.74792
2.345,11.43786
2.355,114.31583
2.365,129.98721
2.375,44.43789
2.385,-71.82732
2.395,-121.05956
2.405,-60.76057
2.415,58.39067
2.425,133.94228
2.435,99.57935
2.445,-15.76368
2.455,-111.01585
2.465,-101.13189
2.475,6.13586
2.485,114.89103
2.495,126.24131
2.505,28.9351
2.515,-88.07806
2.525,-115.95469
2.535,-27.57208
2.545,94.80927
2.555,135.16829
2.565,54.05641
2.575,-71.5015
2.585,-120.02867
2.595,-43.42501
2.605,83.85746
2.615,135.8568
2.625,59.78988
2.635,-69.13201
2.645,-120.87603
2.655,-41.97601
2.665,87.74617
2.675,134.7097
2.685,49.4158
2.695,-79.7969
2.705,-116.83701
2.715,-21.38235
2.725,105.8026
2.735,128.22353
2.745,20.7324
2.755,-100.60863
2.765,-102.80409
2.775,17.47647
2.785,127.37493
2.795,103.66934
2.805,-28.24929
2.815,-119.93796
2.825,-66.58972
2.835,71.69647
2.845,135.90109
2.855,50.88995
2.865,-84.99769
2.875,-112.07401
2.885,2.79755
2.895,124.06459
2.905,106.57795
2.915,-29.56311
2.925,-120.0654
2.935,-54.11255
2.945,88.39492
2.955,131.81895
2.965,21.24272
2.975,-106.47955
2.985,-91.02538
2.995,48.97446
3.005,136.196
3.015,58.61709
3.025,-85.02607
3.035,-109.0453
3.045,18.93137
3.055,132.58199
3.065,82.30408
3.075,-66.29644
3.085,-115.8102
3.095,0.8461
3.105,127.55549
3.115,92.54668
3.125,-57.81298
3.135,-118.53195
3.145,-5.55881
3.155,125.55676
3.165,92.17376
3.175,-60.09156
3.185,-117.5239
3.195,2.01207
3.205,129.73727
3.215,83.17191
3.225,-71.58102
3.235,-111.16747
3.245,22.84495
3.255,135.64262
3.265,61.22958
3.275,-91.84364
3.285,-96.99432
3.295,54.1185
3.305,135.44656
3.315,23.71514
3.325,-112.97338
3.335,-66.43715
3.345,93.31229
3.355,121.29413
3.365,-26.27584
3.375,-120.71323
3.385,-13.87859
3.395,127.7544
3.405,80.87995
3.415,-81.35841
3.425,-101.24056
3.435,53.61397
3.445,134.62674
3.455,10.0799
3.465,-118.96853
3.475,-41.84503
3.485,116.10404
3.495,95.10521
3.505,-70.74141
3.515,-105.83089
3.525,49.53492
3.535,135.51643
3.545,6.68504
3.555,-119.6544
3.565,-28.38227
3.575,125.08125
3.585,76.79454
3.595,-91.1893
3.605,-88.15883
3.615,81.37234
3.625,121.37199
3.635,-38.96483
3.645,-116.95254
3.655,26.64701
3.665,137.1653
3.675,16.72692
3.685,-119.04288
3.695,-24.9442
3.705,129.08427
3.715,62.20825
3.725,-104.55642
3.735,-65.34378
3.745,108.16019
3.755,94.71389
3.765,-81.35245
3.775,-91.10741
3.785,84.91464
3.795,115.83245
3.805,-57.26837
3.815,-105.79498
3.825,63.49681
3.835,126.5374
3.845,-38.91723
3.855,-114.18398
3.865,46.95211
3.875,130.91479
3.885,-27.13035
3.895,-117.27588
3.905,39.06992
3.915,133.37149
3.925,-21.89191
3.935,-117.13097
3.945,39.14874
3.955,133.0799
3.965,-25.77805
3.975,-116.27179
3.985,45.88271
3.995,129.42989
4.005,-37.79546
