ETA,Pi1,Pi2,Pi3,Pi4,Pi5
0,8.61074,8.1875,8.2017,7.63657,7.49853
0.01,8.5788,8.16027,8.17362,7.61422,7.47709
0.02,8.48344,8.07838,8.08921,7.5471,7.4124
0.03,8.32468,7.9418,7.94849,7.43514,7.30489
0.04,8.10245,7.75057,7.75133,7.27868,7.15422
0.05,7.81672,7.5047,7.49808,7.07733,6.9606
0.06,7.46791,7.20443,7.18847,6.83138,6.72406
0.07,7.05558,6.84975,6.82284,6.54085,6.44474
0.08,6.58037,6.44073,6.40145,6.20591,6.12257
0.09,6.04243,5.97792,5.92436,5.82667,5.75794
0.1,5.44224,5.46129,5.39192,5.4035,5.351
0.11,4.78025,4.89173,4.80485,4.93693,4.90219
0.12,4.05762,4.26964,4.16364,4.42728,4.41191
0.13,3.27493,3.59603,3.46939,3.87528,3.88102
0.14,2.43387,2.87193,2.72318,3.28186,3.31026
0.15,1.53563,2.09869,1.92621,2.64809,2.70072
0.16,0.58252,1.27817,1.08046,1.97546,2.05381
0.17,-0.42317,0.41224,0.18804,1.26551,1.37093
0.18,-1.4786,-0.49651,-0.74858,0.52023,0.65411
0.19,-2.58027,-1.44528,-1.72644,-0.25785,-0.0943
0.2,-3.72423,-2.43065,-2.74186,-1.06611,-0.87182
0.21,-4.90582,-3.44857,-3.79107,-1.90122,-1.67527
0.22,-6.11997,-4.49457,-4.86913,-2.75961,-2.50114
0.23,-7.36047,-5.56344,-5.97082,-3.63701,-3.34513
0.24,-8.62061,-6.64947,-7.09008,-4.5287,-4.20311
0.25,-9.89268,-7.74603,-8.22023,-5.42933,-5.06968
0.26,-11.1682,-8.84594,-9.35372,-6.33292,-5.93915
0.27,-12.43804,-9.94101,-10.48231,-7.23301,-6.80533
0.28,-13.69186,-11.02258,-11.59698,-8.12232,-7.66128
0.29,-14.91829,-12.08098,-12.6877,-8.99315,-8.49949
0.3,-16.10566,-13.10596,-13.74406,-9.83685,-9.31176
0.31,-17.24079,-14.08627,-14.75435,-10.6445,-10.08938
0.32,-18.31002,-15.0102,-15.70656,-11.40632,-10.82311
0.33,-19.29889,-15.86544,-16.58785,-12.11228,-11.5032
0.34,-20.19234,-16.63871,-17.38468,-12.75166,-12.11925
0.35,-20.97455,-17.31664,-18.08327,-13.31347,-12.66075
0.36,-21.62939,-17.88525,-18.66925,-13.78606,-13.11679
0.37,-22.14056,-18.33039,-19.12802,-14.15817,-13.47615
0.38,-22.4915,-18.63802,-19.44503,-14.41803,-13.72772
0.39,-22.66587,-18.79405,-19.60582,-14.55417,-13.86044
0.4,-22.64807,-18.78471,-19.59619,-14.5554,-13.86352
0.41,-22.42257,-18.59713,-19.40283,-14.41103,-13.72668
0.42,-21.97551,-18.21898,-19.01309,-14.11094,-13.44022
0.43,-21.2939,-17.63928,-18.41563,-13.64613,-12.99543
0.44,-20.36687,-16.84842,-17.60061,-13.0088,-12.38481
0.45,-19.1853,-15.83864,-16.55998,-12.1925,-11.60224
0.46,-17.74282,-14.60438,-15.28812,-11.19264,-10.64318
0.47,-16.03585,-13.14273,-13.78168,-10.00663,-9.50526
0.48,-14.06414,-11.45328,-12.04056,-8.63424,-8.18818
0.49,-11.83122,-9.53901,-10.06783,-7.078,-6.69433
0.5,-9.34479,-7.40652,-7.87012,-5.34306,-5.02857
0.51,-6.61658,-5.06601,-5.45814,-3.43783,-3.19912
0.52,-3.66372,-2.53208,-2.84681,-1.37402,-1.21726
0.53,-0.50779,0.17677,-0.05519,0.83303,0.9024
0.54,2.82434,3.0373,2.89279,3.16449,3.1417
0.55,6.30044,6.02192,5.96859,5.59774,5.47894
0.56,9.88312,9.09853,9.13913,8.1066,7.88883
0.57,13.53003,12.23057,12.36686,10.66111,10.34282
0.58,17.19397,15.37742,15.60989,13.2282,12.80892
0.59,20.82323,18.4948,18.8225,15.77152,15.25223
0.6,24.36242,21.53506,21.95564,18.25212,17.63533
0.61,27.75318,24.44779,24.95735,20.62879,19.9186
0.62,30.93478,27.18097,27.77396,22.85896,22.06112
0.63,33.84566,29.68152,30.35089,24.89921,24.02116
0.64,36.42415,31.89655,32.63346,26.7063,25.7571
0.65,38.61035,33.77434,34.56855,28.23798,27.22836
0.66,40.34731,35.26608,36.10578,29.45419,28.39651
0.67,41.58281,36.32674,37.19883,30.31817,29.22604
0.68,42.2709,36.9169,37.80696,30.79768,29.68617
0.69,42.37395,37.00413,37.89673,30.86618,29.75126
0.7,41.86406,36.56438,37.44345,30.50409,29.40244
0.71,40.72459,35.58353,36.43252,29.69979,28.62871
0.72,38.95229,34.05865,34.86093,28.4509,27.42765
0.73,36.55788,31.99907,32.73832,26.7652,25.80678
0.74,33.56778,29.42739,30.08809,24.6612,23.78395
0.75,30.02439,26.38032,26.94775,22.16883,21.38794
0.76,25.98655,22.90836,23.36965,19.32958,18.6587
0.77,21.52948,19.07624,19.42051,16.19657,15.64721
0.78,16.74439,14.96243,15.18096,12.83397,12.41521
0.79,11.73662,10.65765,10.7447,9.31608,9.03421
0.8,6.62449,6.26369,6.21661,5.72626,5.58431
0.81,1.53659,1.89119,1.71063,2.1551,2.15266
0.82,-3.39113,-2.34294,-2.65251,-1.30155,-1.16865
0.83,-8.01892,-6.31838,-6.74913,-4.5453,-4.285
0.84,-12.20749,-9.91529,-10.45554,-7.478,-7.10192
0.85,-15.82217,-13.0177,-13.65236,-10.00477,-9.52824
0.86,-18.73775,-15.51815,-16.22857,-12.03758,-11.47938
0.87,-20.84388,-17.32143,-18.0863,-13.49867,-12.88045
0.88,-22.04921,-18.34918,-19.14479,-14.32385,-13.66994
0.89,-22.28674,-18.5437,-19.34448,-14.46615,-13.80263
