ETA,Pi
0.0,8.1875
0.01,8.16027
0.02,8.07838
0.03,7.9418
0.04,7.75057
0.05,7.5047
0.06,7.20443
0.07,6.84975
0.08,6.44073
0.09,5.97792
0.1,5.46129
0.11,4.89173
0.12,4.26964
0.13,3.59603
0.14,2.87193
0.15,2.09869
0.16,1.27817
0.17,0.41224
0.18,-0.49651
0.19,-1.44528
0.2,-2.43065
0.21,-3.44857
0.22,-4.49457
0.23,-5.56344
0.24,-6.64947
0.25,-7.74603
0.26,-8.84594
0.27,-9.94101
0.28,-11.02258
0.29,-12.08098
0.3,-13.10596
0.31,-14.08627
0.32,-15.0102
0.33,-15.86544
0.34,-16.63871
0.35,-17.31664
0.36,-17.88525
0.37,-18.33039
0.38,-18.63802
0.39,-18.79405
0.4,-18.78471
0.41,-18.59713
0.42,-18.21898
0.43,-17.63928
0.44,-16.84842
0.45,-15.83864
0.46,-14.60438
0.47,-13.14273
0.48,-11.45328
0.49,-9.53901
0.5,-7.40652
0.51,-5.06601
0.52,-2.53208
0.53,0.17677
0.54,3.0373
0.55,6.02192
0.56,9.09853
0.57,12.23057
0.58,15.37742
0.59,18.4948
0.6,21.53506
0.61,24.44779
0.62,27.18097
0.63,29.68152
0.64,31.89655
0.65,33.77434
0.66,35.26608
0.67,36.32674
0.68,36.9169
0.69,37.00413
0.7,36.56438
0.71,35.58353
0.72,34.05865
0.73,31.99907
0.74,29.42739
0.75,26.38032
0.76,22.90836
0.77,19.07624
0.78,14.96243
0.79,10.65765
0.8,6.26369
0.81,1.89119
0.82,-2.34294
0.83,-6.31838
0.84,-9.91529
0.85,-13.0177
0.86,-15.51815
0.87,-17.32143
0.88,-18.34918
0.89,-18.5437
0.9,-17.87184
0.91,-16.32787
0.92,-13.9359
0.93,-10.75144
0.94,-6.86147
0.95,-2.3837
0.96,2.5362
0.97,7.72779
0.98,13.00113
0.99,18.15364
1.0,22.97713
1.01,27.26675
1.02,30.82987
1.03,33.4958
1.04,35.12473
1.05,35.6165
1.06,34.9178
1.07,33.02813
1.08,30.00298
1.09,25.95507
1.1,21.05239
1.11,15.51309
1.12,9.59757
1.13,3.59747
1.14,-2.17793
1.15,-7.41776
1.16,-11.82593
1.17,-15.13928
1.18,-17.14433
1.19,-17.69279
1.2,-16.71418
1.21,-14.22477
1.22,-10.33179
1.23,-5.23239
1.24,0.79352
1.25,7.39639
1.26,14.17489
1.27,20.69977
1.28,26.54023
1.29,31.2932
1.3,34.61213
1.31,36.23434
1.32,36.004
1.33,33.88922
1.34,29.99136
1.35,24.54447
1.36,17.90567
1.37,10.53447
1.38,2.96354
1.39,-4.23886
1.4,-10.51137
1.41,-15.34479
1.42,-18.32529
1.43,-19.17364
1.44,-17.77451
1.45,-14.19454
1.46,-8.68571
1.47,-1.6723
1.48,6.27752
1.49,14.49483
1.5,22.26512
1.51,28.89055
1.52,33.75471
1.53,36.38353
1.54,36.49596
1.55,34.03981
1.56,29.2067
1.57,22.4243
1.58,14.32429
1.59,5.68827
1.6,-2.6253
1.61,-9.76602
1.62,-14.98016
1.63,-17.69447
1.64,-17.5848
1.65,-14.62168
1.66,-9.08559
1.67,-1.54893
1.68,7.17646
1.69,16.12125
1.7,24.26403
1.71,30.64713
1.72,34.49205
1.73,35.29921
1.74,32.9188
1.75,27.58353
1.76,19.89557
1.77,10.76694
1.78,1.31773
1.79,-7.25753
1.8,-13.84032
1.81,-17.53645
1.82,-17.80282
1.83,-14.53371
1.84,-8.09251
1.85,0.71804
1.86,10.74857
1.87,20.64787
1.88,29.04274
1.89,34.73137
1.9,36.8597
1.91,35.05814
1.92,29.51306
1.93,20.9609
1.94,10.6
1.95,-0.07098
1.96,-9.46734
1.97,-16.1563
1.98,-19.0826
1.99,-17.74591
2.0,-12.29867
2.01,-3.54489
2.02,7.16623
2.03,18.14074
2.04,27.60419
2.05,33.99266
2.06,36.21914
2.07,33.87209
2.08,27.30648
2.09,17.60716
2.1,6.42352
2.11,-4.30058
2.12,-12.66215
2.13,-17.13953
2.14,-16.87923
2.15,-11.87265
2.16,-2.98434
2.17,8.18033
2.18,19.55237
2.19,28.9758
2.2,34.61546
2.21,35.32109
2.22,30.87235
2.23,22.05239
2.24,10.52584
2.25,-1.46331
2.26,-11.52234
2.27,-17.58795
2.28,-18.35717
2.29,-13.57928
2.3,-4.14178
2.31,8.07809
2.32,20.57664
2.33,30.73334
2.34,36.36705
2.35,36.21753
2.36,30.24613
2.37,19.67997
2.38,6.77841
2.39,-5.63946
2.4,-14.81032
2.41,-18.65208
2.42,-16.25684
2.43,-8.13067
2.44,3.88623
2.45,17.01444
2.46,28.16677
2.47,34.67451
2.48,34.93916
2.49,28.84836
2.5,17.84276
2.51,4.60279
2.52,-7.58466
2.53,-15.63381
2.54,-17.44591
2.55,-12.47165
2.56,-1.89611
2.57,11.61934
2.58,24.58754
2.59,33.58738
2.6,36.16931
2.61,31.53492
2.62,20.79882
2.63,6.74321
2.64,-6.88814
2.65,-16.38568
2.66,-19.09488
2.67,-14.18007
2.68,-2.90522
2.69,11.66564
2.7,25.48852
2.71,34.66325
2.72,36.55259
2.73,30.57143
2.74,18.40382
2.75,3.56199
2.76,-9.60682
2.77,-17.19468
2.78,-16.91146
2.79,-8.81265
2.8,4.66692
2.81,19.40793
2.82,30.84266
2.83,35.36661
2.84,31.4899
2.85,20.35815
2.86,5.45104
2.87,-8.47295
2.88,-16.87917
2.89,-16.93724
2.9,-8.49085
2.91,5.81918
2.92,21.35595
2.93,32.97596
2.94,36.73817
2.95,31.26059
2.96,18.25338
2.97,2.0142
2.98,-11.977
2.99,-18.91751
3.0,-16.36048
3.01,-5.12338
3.02,10.92765
3.03,26.17966
3.04,35.23591
